scope,comparison,metric,delta_left_minus_right,ci95_low,ci95_high,n,n_boot,resampling_unit
overall,crop_train_mean_baseline_vs_zero,rmse_t_ha,1.3322676295501878e-15,-2.1094237467877974e-15,4.776734563449721e-15,333,2000,year_block
overall,crop_train_mean_baseline_vs_zero,mae_t_ha,4.107825191113079e-15,1.1102230246251565e-15,7.271960811294775e-15,333,2000,year_block
overall,crop_train_mean_baseline_vs_train_mean,rmse_t_ha,-2.1094237467877974e-15,-2.7755575615628914e-15,-1.1102230246251565e-15,333,2000,year_block
overall,crop_train_mean_baseline_vs_train_mean,mae_t_ha,-6.106226635438361e-16,-1.4432899320127035e-15,-5.551115123125783e-17,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_zero,rmse_t_ha,-0.012124514160680722,-0.029366289040052458,0.0019502340837645811,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_zero,mae_t_ha,-0.022850886080289068,-0.03978909536202435,-0.006599652281350127,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_train_mean,rmse_t_ha,-0.012124514160684163,-0.029366289040052413,0.0019502340837580362,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_train_mean,mae_t_ha,-0.022850886080293786,-0.039789095362026856,-0.006599652281354488,333,2000,year_block
overall,extra_trees_leaf_1_metadata_only_vs_zero,rmse_t_ha,2.220446049250313e-16,-4.66571226098722e-15,4.773959005888173e-15,333,2000,year_block
overall,extra_trees_leaf_1_metadata_only_vs_zero,mae_t_ha,-1.6653345369377348e-16,-3.774758283725532e-15,4.2757464235876266e-15,333,2000,year_block
overall,extra_trees_leaf_1_metadata_only_vs_train_mean,rmse_t_ha,-3.219646771412954e-15,-5.10702591327572e-15,-9.992007221626409e-16,333,2000,year_block
overall,extra_trees_leaf_1_metadata_only_vs_train_mean,mae_t_ha,-4.884981308350689e-15,-7.273348590075557e-15,-2.55351295663786e-15,333,2000,year_block
overall,extra_trees_leaf_1_weather_only_vs_zero,rmse_t_ha,-0.0054190995744907156,-0.01936371616100293,0.00907751167520386,333,2000,year_block
overall,extra_trees_leaf_1_weather_only_vs_zero,mae_t_ha,-0.01898124414212221,-0.03411604277230948,-0.003869698323557507,333,2000,year_block
overall,extra_trees_leaf_1_weather_only_vs_train_mean,rmse_t_ha,-0.005419099574494157,-0.019363716161002596,0.009077511675199284,333,2000,year_block
overall,extra_trees_leaf_1_weather_only_vs_train_mean,mae_t_ha,-0.01898124414212693,-0.034116042772312616,-0.0038696983235638784,333,2000,year_block
overall,extra_trees_leaf_2_full_vs_zero,rmse_t_ha,-0.009458837468358072,-0.023776095681035513,0.004496521107633308,333,2000,year_block
overall,extra_trees_leaf_2_full_vs_zero,mae_t_ha,-0.023197733402737175,-0.03882076245722341,-0.007306568576214218,333,2000,year_block
overall,extra_trees_leaf_2_full_vs_train_mean,rmse_t_ha,-0.009458837468361514,-0.02377609568103587,0.004496521107627225,333,2000,year_block
overall,extra_trees_leaf_2_full_vs_train_mean,mae_t_ha,-0.023197733402741894,-0.03882076245722714,-0.007306568576217915,333,2000,year_block
overall,extra_trees_leaf_2_metadata_only_vs_zero,rmse_t_ha,2.220446049250313e-16,-4.66571226098722e-15,4.773959005888173e-15,333,2000,year_block
overall,extra_trees_leaf_2_metadata_only_vs_zero,mae_t_ha,-1.6653345369377348e-16,-3.774758283725532e-15,4.2757464235876266e-15,333,2000,year_block
overall,extra_trees_leaf_2_metadata_only_vs_train_mean,rmse_t_ha,-3.219646771412954e-15,-5.10702591327572e-15,-9.992007221626409e-16,333,2000,year_block
overall,extra_trees_leaf_2_metadata_only_vs_train_mean,mae_t_ha,-4.884981308350689e-15,-7.273348590075557e-15,-2.55351295663786e-15,333,2000,year_block
overall,extra_trees_leaf_2_weather_only_vs_zero,rmse_t_ha,-0.004625149112442162,-0.017702971880669063,0.00918454847738465,333,2000,year_block
overall,extra_trees_leaf_2_weather_only_vs_zero,mae_t_ha,-0.01739033247318933,-0.03200059535237549,-0.002877126929516002,333,2000,year_block
overall,extra_trees_leaf_2_weather_only_vs_train_mean,rmse_t_ha,-0.0046251491124456034,-0.017702971880671263,0.009184548477379016,333,2000,year_block
overall,extra_trees_leaf_2_weather_only_vs_train_mean,mae_t_ha,-0.017390332473194048,-0.03200059535237826,-0.0028771269295209275,333,2000,year_block
overall,random_forest_leaf_1_full_vs_zero,rmse_t_ha,-0.012426925595245386,-0.02644764285958524,0.0009140893307282181,333,2000,year_block
overall,random_forest_leaf_1_full_vs_zero,mae_t_ha,-0.02112480392946675,-0.03728165573943082,-0.003988579343263625,333,2000,year_block
overall,random_forest_leaf_1_full_vs_train_mean,rmse_t_ha,-0.012426925595248828,-0.026447642859584987,0.0009140893307222507,333,2000,year_block
overall,random_forest_leaf_1_full_vs_train_mean,mae_t_ha,-0.02112480392947147,-0.037281655739435524,-0.0039885793432674985,333,2000,year_block
overall,random_forest_leaf_1_metadata_only_vs_zero,rmse_t_ha,0.0004233018085875173,0.0002407810757134865,0.0006209229416930694,333,2000,year_block
overall,random_forest_leaf_1_metadata_only_vs_zero,mae_t_ha,0.0004736552245550585,0.0002267500496854216,0.0007452079606763041,333,2000,year_block
overall,random_forest_leaf_1_metadata_only_vs_train_mean,rmse_t_ha,0.0004233018085840756,0.0002407810757101392,0.0006209229416866718,333,2000,year_block
overall,random_forest_leaf_1_metadata_only_vs_train_mean,mae_t_ha,0.00047365522455034004,0.00022675004968174538,0.0007452079606701008,333,2000,year_block
overall,random_forest_leaf_1_weather_only_vs_zero,rmse_t_ha,-0.007550043478155577,-0.021307598509659458,0.005473938476578975,333,2000,year_block
overall,random_forest_leaf_1_weather_only_vs_zero,mae_t_ha,-0.018765650570468084,-0.03319868276703534,-0.0036608367472946435,333,2000,year_block
overall,random_forest_leaf_1_weather_only_vs_train_mean,rmse_t_ha,-0.007550043478159019,-0.02130759850966391,0.005473938476574406,333,2000,year_block
overall,random_forest_leaf_1_weather_only_vs_train_mean,mae_t_ha,-0.018765650570472803,-0.03319868276703673,-0.0036608367473011257,333,2000,year_block
overall,random_forest_leaf_2_full_vs_zero,rmse_t_ha,-0.010266215089384634,-0.024457968186552277,0.0030409199514668736,333,2000,year_block
overall,random_forest_leaf_2_full_vs_zero,mae_t_ha,-0.020971896181255167,-0.03687802581174081,-0.00436859694496507,333,2000,year_block
overall,random_forest_leaf_2_full_vs_train_mean,rmse_t_ha,-0.010266215089388075,-0.024457968186552725,0.0030409199514596797,333,2000,year_block
overall,random_forest_leaf_2_full_vs_train_mean,mae_t_ha,-0.020971896181259886,-0.03687802581174757,-0.00436859694496937,333,2000,year_block
overall,random_forest_leaf_2_metadata_only_vs_zero,rmse_t_ha,0.0004040898539605653,0.00022005611732519304,0.0006017625040587309,333,2000,year_block
overall,random_forest_leaf_2_metadata_only_vs_zero,mae_t_ha,0.0004605416608026158,0.00021348377008894304,0.0007323037806869214,333,2000,year_block
overall,random_forest_leaf_2_metadata_only_vs_train_mean,rmse_t_ha,0.0004040898539571236,0.00022005611732446028,0.0006017625040539181,333,2000,year_block
overall,random_forest_leaf_2_metadata_only_vs_train_mean,mae_t_ha,0.0004605416607978974,0.0002134837700848269,0.000732303780680743,333,2000,year_block
overall,random_forest_leaf_2_weather_only_vs_zero,rmse_t_ha,-0.007418975258587368,-0.022108886850925165,0.0061278297452372,333,2000,year_block
overall,random_forest_leaf_2_weather_only_vs_zero,mae_t_ha,-0.018833334085399833,-0.03414993540221408,-0.003338669022373693,333,2000,year_block
overall,random_forest_leaf_2_weather_only_vs_train_mean,rmse_t_ha,-0.00741897525859081,-0.02210888685092647,0.00612782974523128,333,2000,year_block
overall,random_forest_leaf_2_weather_only_vs_train_mean,mae_t_ha,-0.01883333408540455,-0.03414993540221845,-0.0033386690223771442,333,2000,year_block
overall,ridge_alpha_1_full_vs_zero,rmse_t_ha,0.010971109259850897,-0.010923778325058989,0.030166515656531154,333,2000,year_block
overall,ridge_alpha_1_full_vs_zero,mae_t_ha,0.020959361443866564,-0.00327935715152424,0.04343267133423316,333,2000,year_block
overall,ridge_alpha_1_full_vs_train_mean,rmse_t_ha,0.010971109259847456,-0.01092377832505865,0.03016651565652601,333,2000,year_block
overall,ridge_alpha_1_full_vs_train_mean,mae_t_ha,0.020959361443861846,-0.003279357151526546,0.04343267133422736,333,2000,year_block
overall,ridge_alpha_1_metadata_only_vs_zero,rmse_t_ha,-8.881784197001252e-16,-4.884981308350689e-15,2.6645352591003757e-15,333,2000,year_block
overall,ridge_alpha_1_metadata_only_vs_zero,mae_t_ha,2.6645352591003757e-15,-1.3322676295501878e-15,6.772360450213455e-15,333,2000,year_block
overall,ridge_alpha_1_metadata_only_vs_train_mean,rmse_t_ha,-4.3298697960381105e-15,-6.106226635438361e-15,-2.4424906541753444e-15,333,2000,year_block
overall,ridge_alpha_1_metadata_only_vs_train_mean,mae_t_ha,-2.0539125955565396e-15,-4.496403249731884e-15,1.3877787807738726e-18,333,2000,year_block
overall,ridge_alpha_1_weather_only_vs_zero,rmse_t_ha,0.0010344616507548254,-0.009055970354164142,0.008948518070029911,333,2000,year_block
overall,ridge_alpha_1_weather_only_vs_zero,mae_t_ha,0.002455241512975881,-0.0063784117354530575,0.0106834864277213,333,2000,year_block
overall,ridge_alpha_1_weather_only_vs_train_mean,rmse_t_ha,0.0010344616507513837,-0.00905597035417013,0.008948518070025476,333,2000,year_block
overall,ridge_alpha_1_weather_only_vs_train_mean,mae_t_ha,0.0024552415129711624,-0.006378411735456132,0.01068348642771737,333,2000,year_block
overall,ridge_alpha_10_full_vs_zero,rmse_t_ha,0.005325034559008679,-0.007294311481107332,0.01728845876835915,333,2000,year_block
overall,ridge_alpha_10_full_vs_zero,mae_t_ha,0.00797466949104031,-0.004763288689024558,0.02051421252031042,333,2000,year_block
overall,ridge_alpha_10_full_vs_train_mean,rmse_t_ha,0.005325034559005237,-0.00729431148111131,0.017288458768353814,333,2000,year_block
overall,ridge_alpha_10_full_vs_train_mean,mae_t_ha,0.00797466949103559,-0.004763288689030802,0.020514212520303825,333,2000,year_block
overall,ridge_alpha_10_metadata_only_vs_zero,rmse_t_ha,-4.440892098500626e-16,-4.440892098500626e-15,2.9976021664879227e-15,333,2000,year_block
overall,ridge_alpha_10_metadata_only_vs_zero,mae_t_ha,2.831068712794149e-15,-9.992007221626409e-16,6.8833827526759706e-15,333,2000,year_block
overall,ridge_alpha_10_metadata_only_vs_train_mean,rmse_t_ha,-3.885780586188048e-15,-5.551115123125783e-15,-2.1094237467877974e-15,333,2000,year_block
overall,ridge_alpha_10_metadata_only_vs_train_mean,mae_t_ha,-1.887379141862766e-15,-4.107825191113079e-15,1.6653345369377348e-16,333,2000,year_block
overall,ridge_alpha_10_weather_only_vs_zero,rmse_t_ha,0.0006334179964916364,-0.008238210277104035,0.007418787923964426,333,2000,year_block
overall,ridge_alpha_10_weather_only_vs_zero,mae_t_ha,0.000657239762618389,-0.006121003051385394,0.006915937794281181,333,2000,year_block
overall,ridge_alpha_10_weather_only_vs_train_mean,rmse_t_ha,0.0006334179964881947,-0.008238210277107564,0.00741878792395908,333,2000,year_block
overall,ridge_alpha_10_weather_only_vs_train_mean,mae_t_ha,0.0006572397626136706,-0.0061210030513900796,0.006915937794276914,333,2000,year_block
overall,train_mean_baseline_vs_zero,rmse_t_ha,3.4416913763379853e-15,0.0,6.661338147750939e-15,333,2000,year_block
overall,train_mean_baseline_vs_zero,mae_t_ha,4.718447854656915e-15,1.9984014443252818e-15,7.605027718682322e-15,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_metadata_only,rmse_t_ha,-0.012124514160680944,-0.029366289040047525,0.0019502340837606342,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_metadata_only,mae_t_ha,-0.0228508860802889,-0.03978909536201982,-0.006599652281350402,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_weather_only,rmse_t_ha,-0.006705414586190006,-0.01367585881450117,0.0009390736455165107,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_weather_only,mae_t_ha,-0.0038696419381668568,-0.008086424007742846,0.0003927873785603284,333,2000,year_block
