key,citation_count,status
Adebayo2018,1,CITED
ApleyZhu2020,1,CITED
Breiman2001,1,CITED
CensusCartographicBoundary,1,CITED
EIA930,1,CITED
ElYanivWiener2010,1,CITED
Fisher2019,1,CITED
GeifmanElYaniv2017,1,CITED
Geurts2006,1,CITED
HoerlKennard1970,1,CITED
Hooker2019,1,CITED
Janzing2020,1,CITED
KapoorNarayanan2023,1,CITED
Klompenburg2020,1,CITED
LengHall2020,1,CITED
Lesk2016,1,CITED
Lu2017,1,CITED
LundbergLee2017,1,CITED
Meng2024,1,CITED
Meroni2021,1,CITED
NASAPOWER2026,1,CITED
Paudel2021,1,CITED
Pedregosa2011,1,CITED
Pineau2021,1,CITED
PolitisRomano1994,1,CITED
Ray2015,1,CITED
Ribeiro2016,1,CITED
Roberts2017,1,CITED
Schierhorn2021,1,CITED
SchlenkerRoberts2009,1,CITED
Slack2020,1,CITED
Strobl2008,1,CITED
USDANASSQuickStats,1,CITED
Yeh2019,1,CITED
Zampieri2017,1,CITED
