held_out_state,n_train,n_test,r2,rmse_t_ha,mae_t_ha,sign_accuracy,spearman,delta_rmse_vs_zero,rmse_better_than_zero
Colorado,801,23,-0.2351749463034638,0.9155006769341727,0.6958819241750642,0.391304347826087,-0.12707049230259054,0.04125002317273674,False
Illinois,827,20,-0.36877731264075253,0.49776708735985253,0.4094311471279301,0.6,-0.018045112781954885,0.01933423538343021,False
Iowa,827,13,0.08518833386264235,0.32787630625021325,0.2751477738352038,0.6923076923076923,0.4010989010989011,-0.07507678591204231,True
Kansas,801,28,-0.277928674880481,0.6632954401307131,0.5308194425789473,0.5357142857142857,0.12082199036038378,0.006582417127562801,False
Minnesota,782,40,-0.2178586678079908,0.47956905164903274,0.40485915111701426,0.4,-0.22620420829699586,0.028827217478114564,False
Montana,784,40,-0.5066470184057319,0.523261503921522,0.4479901906251838,0.4,0.0128182384701631,0.006965077329578961,False
Nebraska,827,20,-0.1912651355861752,0.5372768505573098,0.4462833054383781,0.55,0.306766917293233,0.0047955938469697035,False
North Dakota,776,40,-0.05697683854085378,0.4066704001904523,0.32427064355231244,0.6,0.510467496723554,-0.02995326209817306,True
Oklahoma,820,28,-1.1238249060785188,0.6466672919758086,0.5305493327137346,0.6785714285714286,-0.07452059269393285,-0.032939505841210304,True
South Dakota,801,28,0.12162719908521413,0.44984999408970416,0.3408749692631968,0.6428571428571429,0.4058334132723764,-0.04902219899571786,True
Texas,827,20,-3.037916217139144,0.34996981325569543,0.27250215152363394,0.35,-0.42105263157894735,0.0907309973792092,False
Washington,796,33,-0.3611888288067002,1.4439202947712664,1.174845232147316,0.42424242424242425,0.08435863037166479,0.07733879233573604,False
