replicate,sampled_years,threshold
0,2024|2024|2017|2025|2020|2021|2018|2020|2022|2020,z<-1
1,2019|2017|2025|2021|2022|2019|2023|2018|2016|2016,z<-1
2,2021|2020|2022|2019|2024|2024|2018|2020|2017|2023,z<-1
3,2016|2017|2017|2021|2018|2022|2016|2019|2025|2023,z<-1
4,2024|2025|2019|2025|2016|2018|2022|2022|2024|2025,z<-1
5,2021|2017|2023|2024|2019|2021|2018|2024|2020|2023,z<-1
6,2023|2016|2018|2020|2016|2025|2025|2018|2017|2021,z<-1
7,2025|2016|2021|2023|2020|2019|2024|2020|2019|2025,z<-1
8,2024|2019|2025|2019|2025|2024|2019|2021|2025|2017,z<-1
9,2019|2021|2021|2019|2017|2025|2022|2016|2019|2024,z<-1
10,2022|2022|2020|2022|2021|2018|2020|2021|2018|2017,z<-1
11,2024|2023|2024|2018|2021|2020|2022|2021|2020|2021,z<-1
12,2025|2023|2019|2016|2017|2023|2020|2018|2025|2025,z<-1
13,2018|2021|2017|2020|2025|2019|2023|2018|2020|2017,z<-1
14,2016|2023|2024|2020|2024|2022|2019|2022|2023|2020,z<-1
15,2024|2019|2024|2019|2024|2016|2017|2020|2017|2024,z<-1
16,2022|2022|2016|2023|2017|2016|2022|2018|2021|2019,z<-1
17,2023|2023|2016|2019|2024|2018|2020|2019|2025|2018,z<-1
18,2025|2016|2018|2019|2017|2025|2022|2020|2017|2022,z<-1
19,2018|2021|2024|2024|2021|2021|2019|2018|2017|2016,z<-1
20,2020|2017|2025|2016|2019|2018|2024|2020|2023|2025,z<-1
21,2019|2021|2025|2024|2021|2023|2020|2023|2019|2019,z<-1
22,2016|2019|2017|2016|2022|2025|2020|2022|2023|2017,z<-1
23,2022|2017|2025|2016|2024|2022|2025|2016|2025|2016,z<-1
24,2022|2019|2023|2016|2024|2019|2020|2021|2025|2017,z<-1
25,2024|2025|2017|2023|2022|2020|2016|2024|2017|2018,z<-1
26,2017|2020|2016|2017|2016|2020|2017|2019|2019|2017,z<-1
27,2025|2023|2021|2017|2023|2019|2024|2020|2021|2019,z<-1
28,2018|2024|2020|2017|2020|2025|2018|2023|2023|2019,z<-1
29,2021|2021|2022|2019|2022|2021|2021|2021|2021|2016,z<-1
30,2025|2016|2020|2019|2018|2018|2022|2019|2022|2016,z<-1
31,2022|2016|2020|2019|2024|2023|2019|2024|2020|2018,z<-1
32,2016|2019|2018|2025|2024|2019|2021|2017|2022|2020,z<-1
33,2025|2016|2019|2022|2023|2024|2022|2022|2020|2025,z<-1
34,2022|2021|2019|2025|2025|2019|2023|2020|2023|2024,z<-1
35,2025|2021|2024|2019|2022|2025|2017|2018|2022|2020,z<-1
36,2022|2018|2018|2016|2020|2025|2016|2016|2019|2021,z<-1
37,2019|2017|2023|2018|2018|2025|2018|2016|2020|2016,z<-1
38,2020|2021|2021|2020|2021|2017|2016|2017|2019|2019,z<-1
39,2019|2023|2021|2023|2025|2022|2024|2016|2017|2025,z<-1
40,2017|2022|2024|2016|2020|2016|2020|2025|2016|2017,z<-1
41,2025|2016|2019|2016|2025|2018|2022|2020|2016|2019,z<-1
42,2023|2018|2019|2022|2016|2025|2023|2020|2020|2016,z<-1
43,2024|2022|2019|2025|2025|2019|2016|2023|2018|2021,z<-1
44,2017|2017|2024|2018|2022|2023|2019|2016|2016|2023,z<-1
45,2018|2021|2020|2025|2024|2021|2017|2020|2019|2019,z<-1
46,2023|2025|2023|2022|2016|2019|2020|2025|2021|2019,z<-1
47,2022|2025|2020|2020|2020|2021|2025|2022|2018|2016,z<-1
48,2023|2025|2018|2024|2018|2020|2025|2025|2020|2020,z<-1
49,2022|2019|2020|2016|2018|2023|2016|2016|2024|2025,z<-1
50,2021|2025|2019|2017|2019|2020|2018|2019|2025|2020,z<-1
51,2020|2023|2024|2024|2019|2020|2018|2024|2025|2022,z<-1
52,2016|2019|2020|2025|2025|2016|2022|2016|2021|2025,z<-1
53,2016|2016|2022|2018|2016|2017|2022|2024|2020|2016,z<-1
54,2022|2021|2025|2018|2025|2018|2022|2019|2023|2021,z<-1
55,2017|2016|2021|2016|2019|2020|2019|2019|2022|2019,z<-1
56,2020|2020|2017|2022|2023|2019|2025|2016|2017|2024,z<-1
57,2023|2023|2021|2016|2017|2016|2016|2019|2018|2018,z<-1
58,2019|2020|2017|2019|2025|2017|2019|2021|2020|2020,z<-1
59,2017|2017|2021|2016|2018|2021|2018|2021|2017|2024,z<-1
60,2022|2021|2019|2016|2016|2021|2022|2025|2016|2017,z<-1
61,2025|2024|2017|2016|2025|2017|2023|2024|2021|2017,z<-1
62,2025|2017|2022|2017|2019|2023|2025|2025|2016|2019,z<-1
63,2017|2022|2024|2025|2024|2023|2024|2016|2023|2016,z<-1
64,2022|2019|2021|2016|2018|2021|2022|2023|2025|2017,z<-1
65,2025|2022|2022|2025|2016|2024|2017|2025|2018|2016,z<-1
66,2025|2023|2021|2022|2018|2023|2021|2019|2023|2016,z<-1
67,2017|2021|2016|2024|2018|2023|2022|2020|2017|2023,z<-1
