grouping,group,n,r2,rmse_t_ha,mae_t_ha,sign_accuracy,spearman
crop,Barley,66,0.04003498516688753,0.7399515344431045,0.5872460704776541,0.6060606060606061,0.18417701701283792
crop,Canola,50,-0.4007541063250628,1.1534120276949555,0.8044582282984585,0.54,-0.19058823529411767
crop,Oats,104,0.06055708566675311,0.42583497840846335,0.3388361810297282,0.625,0.20217646431238667
crop,Wheat,113,0.05712891541938647,0.4921168106478966,0.38648990681219575,0.6991150442477876,0.42550236209994013
state,Colorado,23,-0.18053935668043453,0.8950239726789665,0.6844987171935379,0.391304347826087,0.12410386602315264
state,Illinois,20,-0.1268948627584756,0.45164944183420397,0.37171719129486275,0.7,0.39097744360902253
state,Iowa,13,-0.017476656319171058,0.34578521009864166,0.28577231513133367,0.7692307692307693,0.37912087912087916
state,Kansas,28,-0.2368985759587645,0.6525604501507024,0.5074597649008123,0.6071428571428571,0.2512330275747663
state,Minnesota,40,-0.07674467264075835,0.45092993699223705,0.3737652470785786,0.7,0.0957597815123949
state,Montana,40,-0.20930298029650962,0.46879242818010286,0.39597208034357156,0.6,0.5753127031020261
state,Nebraska,20,-0.05786279242335546,0.506300765481595,0.4206582039827126,0.6,0.3804511278195489
state,North Dakota,40,-0.0853403244312172,0.4120906845063134,0.33018143528284255,0.7,0.40339750479630926
state,Oklahoma,28,-1.11075600202992,0.6446745961479889,0.5236619607339378,0.8214285714285714,0.09534252300547291
state,South Dakota,28,0.06583055970083085,0.46391787612329416,0.3446266841006716,0.6428571428571429,0.4267299846874852
state,Texas,20,-1.7578729778142055,0.28922715377257024,0.21268802593106625,0.6,-0.3278195488721804
state,Washington,33,-0.280392308680274,1.4004111528535315,1.085333011096815,0.48484848484848486,0.11716476440509
crop_state,Barley|Colorado,10,-1.4605652928976491,1.2083139622590267,0.955428667923127,0.2,-0.11515151515151514
crop_state,Barley|Kansas,8,-0.024348741001622543,0.8778384513174463,0.7533023443877959,0.625,-0.11904761904761905
crop_state,Barley|Minnesota,10,-0.4095201771562216,0.5855635385858532,0.5415838528375827,0.7,0.06666666666666665
crop_state,Barley|Montana,10,0.18797379196679753,0.3881452951562877,0.30506284028698916,0.7,0.6121212121212121
crop_state,Barley|North Dakota,10,-0.22534437338860602,0.4179117575070086,0.39087807528421364,0.7,0.5515151515151515
crop_state,Barley|South Dakota,8,0.0888597417606164,0.5762947315687725,0.4750094727671814,0.75,0.6904761904761906
crop_state,Barley|Washington,10,0.18250017154006948,0.7767235906169774,0.7002211750966232,0.6,0.6727272727272726
crop_state,Canola|Minnesota,10,-0.913057854496871,0.4247905823212149,0.3618772538009313,0.6,-0.4787878787878787
crop_state,Canola|Montana,10,-1.9887853164084697,0.5962615990194842,0.5379967662913853,0.4,0.6121212121212121
crop_state,Canola|North Dakota,10,-0.027534266563946863,0.2230246002344753,0.16688325292002198,0.7,0.41818181818181815
crop_state,Canola|Oklahoma,10,-2.929023116455005,0.8677013196651328,0.7463527142159115,0.9,-0.04242424242424241
crop_state,Canola|Washington,10,-10.984431959841864,2.305032763846214,2.209181154264042,0.1,0.01818181818181818
crop_state,Oats|Colorado,3,-0.110387204225872,0.4773714784721062,0.4089940038404942,0.3333333333333333,1.0
crop_state,Oats|Illinois,10,0.13513226552435587,0.3607569679257869,0.280683048815034,0.8,0.6242424242424242
