row_id,crop,region,year,window,series_history,crop_state,eligible_history_3,eligible_history_5,eligible_history_8,eligible_history_10,rows_removed_history_3,rows_removed_history_5,rows_removed_history_8,rows_removed_history_10,overlap_with_history3
Barley|Colorado|2016|spring,Barley,Colorado,2016,spring,26,Barley|Colorado,True,True,True,True,0,0,20,20,1.0
Barley|Minnesota|2016|spring,Barley,Minnesota,2016,spring,26,Barley|Minnesota,True,True,True,True,0,0,20,20,1.0
Barley|Montana|2016|spring,Barley,Montana,2016,spring,26,Barley|Montana,True,True,True,True,0,0,20,20,1.0
Barley|North Dakota|2016|spring,Barley,North Dakota,2016,spring,26,Barley|North Dakota,True,True,True,True,0,0,20,20,1.0
Barley|Washington|2016|spring,Barley,Washington,2016,spring,26,Barley|Washington,True,True,True,True,0,0,20,20,1.0
Canola|Minnesota|2016|spring,Canola,Minnesota,2016,spring,19,Canola|Minnesota,True,True,True,True,0,0,20,20,1.0
Canola|Montana|2016|spring,Canola,Montana,2016,spring,17,Canola|Montana,True,True,True,True,0,0,20,20,1.0
Canola|North Dakota|2016|spring,Canola,North Dakota,2016,spring,25,Canola|North Dakota,True,True,True,True,0,0,20,20,1.0
Canola|Oklahoma|2016|spring,Canola,Oklahoma,2016,spring,7,Canola|Oklahoma,True,True,False,False,0,0,20,20,1.0
Canola|Washington|2016|spring,Canola,Washington,2016,spring,5,Canola|Washington,True,True,False,False,0,0,20,20,1.0
Oats|Colorado|2016|spring,Oats,Colorado,2016,spring,26,Oats|Colorado,True,True,True,True,0,0,20,20,1.0
Oats|Illinois|2016|spring,Oats,Illinois,2016,spring,26,Oats|Illinois,True,True,True,True,0,0,20,20,1.0
Oats|Iowa|2016|spring,Oats,Iowa,2016,spring,26,Oats|Iowa,True,True,True,True,0,0,20,20,1.0
Oats|Kansas|2016|spring,Oats,Kansas,2016,spring,26,Oats|Kansas,True,True,True,True,0,0,20,20,1.0
Oats|Minnesota|2016|spring,Oats,Minnesota,2016,spring,26,Oats|Minnesota,True,True,True,True,0,0,20,20,1.0
Oats|Montana|2016|spring,Oats,Montana,2016,spring,26,Oats|Montana,True,True,True,True,0,0,20,20,1.0
Oats|Nebraska|2016|spring,Oats,Nebraska,2016,spring,26,Oats|Nebraska,True,True,True,True,0,0,20,20,1.0
Oats|North Dakota|2016|spring,Oats,North Dakota,2016,spring,26,Oats|North Dakota,True,True,True,True,0,0,20,20,1.0
Oats|Oklahoma|2016|spring,Oats,Oklahoma,2016,spring,26,Oats|Oklahoma,True,True,True,True,0,0,20,20,1.0
Oats|South Dakota|2016|spring,Oats,South Dakota,2016,spring,26,Oats|South Dakota,True,True,True,True,0,0,20,20,1.0
Oats|Texas|2016|spring,Oats,Texas,2016,spring,26,Oats|Texas,True,True,True,True,0,0,20,20,1.0
Oats|Washington|2016|spring,Oats,Washington,2016,spring,26,Oats|Washington,True,True,True,True,0,0,20,20,1.0
Wheat|Colorado|2016|winter,Wheat,Colorado,2016,winter,26,Wheat|Colorado,True,True,True,True,0,0,20,20,1.0
Wheat|Illinois|2016|winter,Wheat,Illinois,2016,winter,26,Wheat|Illinois,True,True,True,True,0,0,20,20,1.0
Wheat|Iowa|2016|winter,Wheat,Iowa,2016,winter,26,Wheat|Iowa,True,True,True,True,0,0,20,20,1.0
Wheat|Kansas|2016|winter,Wheat,Kansas,2016,winter,26,Wheat|Kansas,True,True,True,True,0,0,20,20,1.0
Wheat|Minnesota|2016|spring,Wheat,Minnesota,2016,spring,26,Wheat|Minnesota,True,True,True,True,0,0,20,20,1.0
Wheat|Montana|2016|spring,Wheat,Montana,2016,spring,26,Wheat|Montana,True,True,True,True,0,0,20,20,1.0
Wheat|Nebraska|2016|winter,Wheat,Nebraska,2016,winter,26,Wheat|Nebraska,True,True,True,True,0,0,20,20,1.0
Wheat|North Dakota|2016|spring,Wheat,North Dakota,2016,spring,26,Wheat|North Dakota,True,True,True,True,0,0,20,20,1.0
Wheat|Oklahoma|2016|winter,Wheat,Oklahoma,2016,winter,26,Wheat|Oklahoma,True,True,True,True,0,0,20,20,1.0
Wheat|South Dakota|2016|spring,Wheat,South Dakota,2016,spring,26,Wheat|South Dakota,True,True,True,True,0,0,20,20,1.0
Wheat|Texas|2016|winter,Wheat,Texas,2016,winter,26,Wheat|Texas,True,True,True,True,0,0,20,20,1.0
Wheat|Washington|2016|winter,Wheat,Washington,2016,winter,26,Wheat|Washington,True,True,True,True,0,0,20,20,1.0
Barley|Colorado|2017|spring,Barley,Colorado,2017,spring,26,Barley|Colorado,True,True,True,True,0,0,20,20,1.0
Barley|Minnesota|2017|spring,Barley,Minnesota,2017,spring,26,Barley|Minnesota,True,True,True,True,0,0,20,20,1.0
Barley|Montana|2017|spring,Barley,Montana,2017,spring,26,Barley|Montana,True,True,True,True,0,0,20,20,1.0
Barley|North Dakota|2017|spring,Barley,North Dakota,2017,spring,26,Barley|North Dakota,True,True,True,True,0,0,20,20,1.0
Barley|Washington|2017|spring,Barley,Washington,2017,spring,26,Barley|Washington,True,True,True,True,0,0,20,20,1.0
Canola|Minnesota|2017|spring,Canola,Minnesota,2017,spring,19,Canola|Minnesota,True,True,True,True,0,0,20,20,1.0
Canola|Montana|2017|spring,Canola,Montana,2017,spring,17,Canola|Montana,True,True,True,True,0,0,20,20,1.0
