column,in_model_matrix,semantic_role,forbidden_reason,status
country,False,allowed_feature_or_identifier,,PASS
region,True,allowed_feature_or_identifier,,PASS
crop,True,allowed_feature_or_identifier,,PASS
year,False,calendar_or_history,calendar/history shortcut not used by model matrix,PASS
window,False,allowed_feature_or_identifier,,PASS
season_days,False,allowed_feature_or_identifier,,PASS
rain_sum,True,allowed_feature_or_identifier,,PASS
rain_mean,True,allowed_feature_or_identifier,,PASS
dry_days_1mm,True,allowed_feature_or_identifier,,PASS
dry_days_2mm,True,allowed_feature_or_identifier,,PASS
max_dry_spell_1mm,True,allowed_feature_or_identifier,,PASS
dry_spell_events_7d,True,allowed_feature_or_identifier,,PASS
dry_spell_events_14d,True,allowed_feature_or_identifier,,PASS
heavy_rain_days_10,True,allowed_feature_or_identifier,,PASS
heavy_rain_days_20,True,allowed_feature_or_identifier,,PASS
heavy_rain_days_25,True,allowed_feature_or_identifier,,PASS
heavy_rain_days_50,True,allowed_feature_or_identifier,,PASS
max_1day_rain,True,allowed_feature_or_identifier,,PASS
max_3day_rain,True,allowed_feature_or_identifier,,PASS
max_7day_rain,True,allowed_feature_or_identifier,,PASS
wet_days_1mm,True,allowed_feature_or_identifier,,PASS
season_tmax_mean,True,allowed_feature_or_identifier,,PASS
season_tmin_mean,True,allowed_feature_or_identifier,,PASS
season_tmean_mean,True,allowed_feature_or_identifier,,PASS
growing_degree_days_base5,True,allowed_feature_or_identifier,,PASS
heat_days_30,True,allowed_feature_or_identifier,,PASS
heat_days_35,True,allowed_feature_or_identifier,,PASS
heat_days_40,True,allowed_feature_or_identifier,,PASS
max_consecutive_heat_days_30,True,allowed_feature_or_identifier,,PASS
max_consecutive_heat_days_35,True,allowed_feature_or_identifier,,PASS
heatwave_events_3d_30,True,allowed_feature_or_identifier,,PASS
heatwave_events_3d_35,True,allowed_feature_or_identifier,,PASS
heat_degree_days_30,True,allowed_feature_or_identifier,,PASS
heat_degree_days_35,True,allowed_feature_or_identifier,,PASS
hot_dry_days_30_1mm,True,allowed_feature_or_identifier,,PASS
frost_days_0,True,allowed_feature_or_identifier,,PASS
cold_days_5,True,allowed_feature_or_identifier,,PASS
min_tmin,True,allowed_feature_or_identifier,,PASS
frost_events_2d,True,allowed_feature_or_identifier,,PASS
radiation_sum,True,allowed_feature_or_identifier,,PASS
radiation_mean,True,allowed_feature_or_identifier,,PASS
rain_sum_early,False,allowed_feature_or_identifier,,PASS
heat_days_35_early,False,allowed_feature_or_identifier,,PASS
frost_days_0_early,False,allowed_feature_or_identifier,,PASS
radiation_sum_early,False,allowed_feature_or_identifier,,PASS
max_3day_rain_early,False,allowed_feature_or_identifier,,PASS
rain_sum_mid,False,allowed_feature_or_identifier,,PASS
heat_days_35_mid,False,allowed_feature_or_identifier,,PASS
frost_days_0_mid,False,allowed_feature_or_identifier,,PASS
radiation_sum_mid,False,allowed_feature_or_identifier,,PASS
max_3day_rain_mid,False,allowed_feature_or_identifier,,PASS
rain_sum_late,False,allowed_feature_or_identifier,,PASS
heat_days_35_late,False,allowed_feature_or_identifier,,PASS
frost_days_0_late,False,allowed_feature_or_identifier,,PASS
radiation_sum_late,False,allowed_feature_or_identifier,,PASS
max_3day_rain_late,False,allowed_feature_or_identifier,,PASS
lat,True,allowed_feature_or_identifier,,PASS
lon,True,allowed_feature_or_identifier,,PASS
yield_t_ha,False,target_derived,target/residual/event/prediction derived,PASS
