driver_group,feature,n_features
heat,season_tmax_mean,12
heat,season_tmean_mean,12
heat,growing_degree_days_base5,12
heat,heat_days_30,12
heat,heat_days_35,12
heat,heat_days_40,12
heat,max_consecutive_heat_days_30,12
heat,max_consecutive_heat_days_35,12
heat,heatwave_events_3d_30,12
heat,heatwave_events_3d_35,12
heat,heat_degree_days_30,12
heat,heat_degree_days_35,12
drought,rain_sum,8
drought,rain_mean,8
drought,dry_days_1mm,8
drought,dry_days_2mm,8
drought,max_dry_spell_1mm,8
drought,dry_spell_events_7d,8
drought,dry_spell_events_14d,8
drought,hot_dry_days_30_1mm,8
frost_cold,season_tmin_mean,5
frost_cold,frost_days_0,5
frost_cold,cold_days_5,5
frost_cold,min_tmin,5
frost_cold,frost_events_2d,5
excess_rain,heavy_rain_days_10,8
excess_rain,heavy_rain_days_20,8
excess_rain,heavy_rain_days_25,8
excess_rain,heavy_rain_days_50,8
excess_rain,max_1day_rain,8
excess_rain,max_3day_rain,8
excess_rain,max_7day_rain,8
excess_rain,wet_days_1mm,8
radiation,radiation_sum,2
radiation,radiation_mean,2
