country,region,crop,year,window,season_days,rain_sum,rain_mean,dry_days_1mm,dry_days_2mm,max_dry_spell_1mm,dry_spell_events_7d,dry_spell_events_14d,heavy_rain_days_10,heavy_rain_days_20,heavy_rain_days_25,heavy_rain_days_50,max_1day_rain,max_3day_rain,max_7day_rain,wet_days_1mm,season_tmax_mean,season_tmin_mean,season_tmean_mean,growing_degree_days_base5,heat_days_30,heat_days_35,heat_days_40,max_consecutive_heat_days_30,max_consecutive_heat_days_35,heatwave_events_3d_30,heatwave_events_3d_35,heat_degree_days_30,heat_degree_days_35,hot_dry_days_30_1mm,frost_days_0,cold_days_5,min_tmin,frost_events_2d,radiation_sum,radiation_mean,rain_sum_early,heat_days_35_early,frost_days_0_early,radiation_sum_early,max_3day_rain_early,rain_sum_mid,heat_days_35_mid,frost_days_0_mid,radiation_sum_mid,max_3day_rain_mid,rain_sum_late,heat_days_35_late,frost_days_0_late,radiation_sum_late,max_3day_rain_late,lat,lon,yield_t_ha
United States,Colorado,Barley,1990,spring,183.0,301.59,1.648,105,128,13,7,0,2,0,0,0,10.7,21.87,42.74,78,19.712,3.611,11.661,1301.845,5,0,0,3,0,1,0,4.32,0.0,5,54,94,-9.91,5,3943.75,21.551,96.29,0,51,1257.22,20.9,101.38,0,3,1505.29,21.87,103.92,0,0,1181.24,15.82,39.0,-105.5,4.3041
United States,Colorado,Barley,1991,spring,183.0,307.78,1.682,95,127,14,5,1,2,0,0,0,14.0,26.75,45.55,88,18.768,3.17,10.969,1219.64,0,0,0,0,0,0,0,0.0,0.0,0,51,94,-9.88,5,3913.54,21.385,83.3,0,44,1325.57,14.32,129.48,0,1,1387.43,26.75,95.0,0,6,1200.54,20.9,39.0,-105.5,4.3041
United States,Colorado,Barley,1992,spring,183.0,259.56,1.418,110,142,19,7,1,1,1,1,0,39.39,50.55,54.13,73,19.176,3.316,11.246,1179.475,0,0,0,0,0,0,0,0.0,0.0,0,39,115,-5.86,6,3858.64,21.085,62.91,0,32,1313.23,15.32,94.16,0,2,1362.16,12.43,102.49,0,5,1183.25,50.55,39.0,-105.5,4.3579
United States,Colorado,Barley,1993,spring,183.0,238.45,1.303,111,140,14,4,1,1,0,0,0,12.43,15.66,20.49,72,18.454,2.485,10.47,1127.475,0,0,0,0,0,0,0,0.0,0.0,0,61,113,-9.66,6,4033.22,22.039,79.37,0,44,1328.56,12.75,61.63,0,7,1556.66,15.66,97.45,0,10,1148.0,12.68,39.0,-105.5,4.5731
United States,Colorado,Barley,1994,spring,183.0,282.32,1.543,113,136,15,7,1,2,1,0,0,21.08,25.35,31.78,70,20.061,4.055,12.058,1423.355,1,0,0,1,0,0,0,0.09,0.0,1,34,90,-10.79,3,3956.52,21.62,127.91,0,30,1270.34,25.35,49.93,0,0,1534.46,14.92,104.48,0,4,1151.72,16.86,39.0,-105.5,4.8421
United States,Colorado,Barley,1995,spring,183.0,414.0,2.262,85,112,11,5,0,5,1,0,0,23.69,40.21,46.06,98,17.072,2.247,9.66,1066.205,0,0,0,0,0,0,0,0.0,0.0,0,68,107,-14.61,5,3875.13,21.176,189.48,0,57,1227.58,40.21,119.26,0,5,1442.49,27.74,105.26,0,6,1205.06,16.6,39.0,-105.5,5.3801
United States,Colorado,Barley,1996,spring,183.0,305.42,1.669,102,133,14,3,1,3,1,0,0,24.09,44.02,47.61,81,19.441,3.444,11.443,1298.315,0,0,0,0,0,0,0,0.0,0.0,0,49,91,-9.07,5,4045.24,22.105,92.18,0,41,1365.32,44.02,107.97,0,1,1496.0,18.14,105.27,0,7,1183.92,12.66,39.0,-105.5,5.5953
United States,Colorado,Barley,1997,spring,183.0,352.96,1.929,95,126,23,4,1,3,0,0,0,16.43,29.52,43.12,88,18.673,3.297,10.985,1274.17,0,0,0,0,0,0,0,0.0,0.0,0,48,96,-14.25,4,4019.71,21.966,101.88,0,46,1329.14,23.95,120.07,0,0,1504.32,29.52,131.01,0,2,1186.25,26.54,39.0,-105.5,5.8105
United States,Colorado,Barley,1998,spring,183.0,285.92,1.562,116,134,15,6,2,1,0,0,0,10.23,25.26,43.77,67,19.259,3.331,11.295,1304.93,2,0,0,1,0,0,0,0.77,0.0,2,55,96,-12.78,5,4155.58,22.708,72.32,0,49,1394.4,13.56,125.69,0,6,1499.4,25.26,87.91,0,0,1261.78,14.85,39.0,-105.5,6.1871
United States,Colorado,Barley,1999,spring,183.0,389.29,2.127,88,122,10,4,0,6,0,0,0,19.81,51.36,67.11,95,17.665,2.47,10.067,1134.76,0,0,0,0,0,0,0,0.0,0.0,0,58,105,-14.7,4,3960.1,21.64,175.6,0,48,1295.75,51.36,114.4,0,4,1474.02,19.54,99.29,0,6,1190.33,21.72,39.0,-105.5,5.6491
United States,Colorado,Barley,2000,spring,183.0,262.4,1.434,117,141,21,5,1,2,0,0,0,14.9,23.24,36.34,66,21.091,4.253,12.672,1475.9,0,0,0,0,0,0,0,0.0,0.0,0,50,85,-14.49,5,4009.2,21.908,70.1,0,45,1342.5,16.53,87.21,0,0,1496.87,23.24,105.09,0,5,1169.83,16.82,39.0,-105.5,6.1871
United States,Colorado,Barley,2001,spring,183.0,265.33,1.45,114,142,13,6,0,2,0,0,0,15.91,39.28,49.41,69,20.639,4.105,12.372,1444.555,2,0,0,1,0,0,0,0.42,0.0,1,42,88,-10.01,6,3951.5,21.593,103.63,0,37,1291.93,39.28,81.0,0,3,1473.77,15.35,80.7,0,2,1185.8,11.93,39.0,-105.5,5.7567
