state,abbr,n_locked_rows,weather_rmse_t_ha,zero_rmse_t_ha,delta_rmse_t_ha
Colorado,CO,23,0.8950239726789665,0.8742506537614361,0.020773318917530426
Illinois,IL,20,0.45164944183420397,0.4784328519764223,-0.026783410142218356
Iowa,IA,13,0.34578521009864166,0.40295309216225556,-0.057167882063613895
Kansas,KS,28,0.6525604501507024,0.6567130230031503,-0.004152572852447856
Minnesota,MN,40,0.45092993699223705,0.4507418341709182,0.00018810282131886957
Montana,MT,40,0.46879242818010286,0.5162964265919431,-0.04750399841184022
Nebraska,NE,20,0.506300765481595,0.5324812567103401,-0.026180491228745106
North Dakota,ND,40,0.4120906845063134,0.43662366228862537,-0.02453297778231195
Oklahoma,OK,28,0.6446745961479889,0.6796067978170189,-0.034932201669029994
South Dakota,SD,28,0.46391787612329416,0.4988721930854219,-0.03495431696212775
Texas,TX,20,0.28922715377257024,0.25923881587648623,0.029988337896084016
Washington,WA,33,1.4004111528535315,1.3665815024355303,0.03382965041800112
