model,feature_family,seed,resampling_unit,metric,median,ci95_low,ci95_high,n_boot
extra_trees,full,7,year_block,rmse_t_ha,0.6684076019015824,0.5872967544404221,0.7509908411989993,400
extra_trees,full,17,year_block,rmse_t_ha,0.668593086098593,0.5818414215720534,0.7529175169686876,400
extra_trees,full,29,year_block,rmse_t_ha,0.6618678995155185,0.582910652890422,0.7387580362508714,400
extra_trees,full,43,year_block,rmse_t_ha,0.6641748099033558,0.5879795405570378,0.7491349947947741,400
extra_trees,full,71,year_block,rmse_t_ha,0.6680666823772472,0.5965231360015074,0.7388112710053464,400
extra_trees,metadata_only,7,year_block,rmse_t_ha,0.666245196785683,0.5874017778397116,0.7479841470087136,400
extra_trees,weather_only,7,year_block,rmse_t_ha,0.6674199615860505,0.5789701567176484,0.7423242125358214,400
random_forest,full,7,year_block,rmse_t_ha,0.6598002037838426,0.5785938870268996,0.7346172429043999,400
random_forest,metadata_only,7,year_block,rmse_t_ha,0.6750269718776238,0.5823614221753639,0.7571600790989871,400
random_forest,weather_only,7,year_block,rmse_t_ha,0.6693240882031533,0.5784881190758602,0.7433028011151668,400
ridge_panel,full,7,year_block,rmse_t_ha,0.6824510377856726,0.5961665156903839,0.7621938394481208,400
ridge_panel,metadata_only,7,year_block,rmse_t_ha,0.6758041622770733,0.583709892960661,0.7493349822149734,400
ridge_panel,weather_only,7,year_block,rmse_t_ha,0.6714138214932476,0.5864404670328431,0.758413318493936,400
