held_out_region,n_train,n_test,r2,rmse_t_ha,mae_t_ha,median_ae_t_ha,spearman,sign_accuracy
Colorado,801,23,-0.2646677786791616,0.9263661122521224,0.7010713625121032,0.6250613198718131,-0.30830039525691705,0.391304347826087
Illinois,827,20,-0.2995577894887933,0.4850176875645826,0.3991566268773039,0.43529968385332773,0.04210526315789473,0.6
Iowa,827,13,0.0794478261699364,0.32890342093314523,0.2802163734296793,0.23729853151523647,0.5879120879120878,0.7692307692307693
Kansas,801,28,-0.26256886399237533,0.6592972156856726,0.5168285210259721,0.4553734626613283,0.18117131910235357,0.6071428571428571
Minnesota,782,40,-0.21162764684558288,0.47834065097505163,0.4045363643398458,0.380923615758678,-0.37992495309568486,0.4
Montana,784,40,-0.6276195635288753,0.5438629543481388,0.46329613785731905,0.4257658162625304,-0.24296435272045033,0.35
Nebraska,827,20,-0.19159150131152858,0.5373504432175713,0.44994541773904917,0.3895160265602261,0.07518796992481201,0.45
North Dakota,776,40,-0.022210494491812893,0.39992632780237225,0.3163702437222571,0.2610361828340627,0.5497185741088181,0.825
Oklahoma,820,28,-1.1024550866237277,0.6434056998448412,0.5220575838903189,0.47993307286325415,-0.1685823754789272,0.75
South Dakota,801,28,-0.028715801531107754,0.48682848885534863,0.36307495147765106,0.23524137556691663,0.09031198686371099,0.6785714285714286
Texas,827,20,-2.740304316697522,0.33682584134064114,0.2636844441096867,0.26511026667389687,-0.312781954887218,0.45
Washington,796,33,-0.33306663023772076,1.4289267322809598,1.1413972883902275,0.8941732711519986,0.0213903743315508,0.30303030303030304
