model,feature_family,seed,n_train,n_test,r2,rmse_t_ha,mae_t_ha,median_ae_t_ha,spearman,sign_accuracy
ridge_panel,metadata_only,7,879,333,-0.030628207934119578,0.6740646712450385,0.4931358218097464,0.37259859829060027,0.0853183688172181,0.45645645645645644
ridge_panel,weather_only,7,879,333,-0.03256607890980523,0.6746980892415307,0.49379306157236186,0.39628814552816943,0.11636977512010588,0.5675675675675675
ridge_panel,full,7,879,333,-0.04697621982600508,0.6793897058040479,0.501110491300784,0.40565903407228077,0.13315797581002115,0.4954954954954955
random_forest,metadata_only,7,879,333,-0.034522117637851624,0.6753368431194438,0.49475855298455423,0.3765275134336572,-0.12813336441130893,0.42042042042042044
random_forest,weather_only,7,879,333,-0.010789973758137616,0.6675457204109398,0.475181234100398,0.3550865001734832,0.2459793459076214,0.6126126126126126
random_forest,full,7,879,333,-0.001785496098975825,0.6645657010918136,0.4748017257727219,0.3626502745942037,0.24719983673161658,0.6276276276276276
extra_trees,metadata_only,7,879,333,-0.03062820793412202,0.6740646712450394,0.4931358218097435,0.3725985982905814,0.04987697298677259,0.46846846846846846
extra_trees,weather_only,7,879,333,-0.008157665571403072,0.666675939535367,0.4717555638485736,0.36198155143978483,0.23515696380866566,0.6606606606606606
extra_trees,full,7,879,333,-0.01662387721811731,0.6694693614708805,0.4732353001949823,0.35395976982831934,0.21444411730105403,0.6456456456456456
extra_trees,full,17,879,333,-0.011898075193415902,0.6679115262512371,0.4721380223717583,0.3574330835164871,0.20694495086674586,0.6306306306306306
extra_trees,full,29,879,333,-0.004163071209251301,0.6653538530895139,0.47062153042690347,0.36525362070630046,0.2526113517023264,0.6396396396396397
extra_trees,full,43,879,333,0.0006824065698501913,0.6637466161639994,0.4723583317832449,0.36910092630239266,0.23512987050971326,0.6216216216216216
extra_trees,full,71,879,333,-0.007796542076424329,0.6665565267109422,0.472280267059457,0.3608746085653814,0.23170201440167534,0.6096096096096096
