model,feature_family,seed,scope,n,r2,rmse_t_ha,mae_t_ha,median_ae_t_ha,spearman,sign_accuracy
extra_trees,full,7,all,333,-0.01662387721811731,0.6694693614708805,0.4732353001949823,0.35395976982831934,0.21444411730105403,0.6456456456456456
extra_trees,full,7,below_trend_z_lt_minus_1,73,-3.575055259567965,0.7724122412524588,0.6759927133374317,0.6150902020314706,0.14022584228063684,0.6575342465753424
extra_trees,full,17,all,333,-0.011898075193415902,0.6679115262512371,0.4721380223717583,0.3574330835164871,0.20694495086674586,0.6306306306306306
extra_trees,full,17,below_trend_z_lt_minus_1,73,-3.6496163124511147,0.778680921247651,0.6766098052357208,0.6032216495666213,0.18280266567937803,0.6027397260273972
extra_trees,full,29,all,333,-0.004163071209251301,0.6653538530895139,0.47062153042690347,0.36525362070630046,0.2526113517023264,0.6396396396396397
extra_trees,full,29,below_trend_z_lt_minus_1,73,-3.4657705122769613,0.7631311420839277,0.667108353445412,0.6229717329781101,0.23472787856349503,0.6575342465753424
extra_trees,full,43,all,333,0.0006824065698501913,0.6637466161639994,0.4723583317832449,0.36910092630239266,0.23512987050971326,0.6216216216216216
extra_trees,full,43,below_trend_z_lt_minus_1,73,-3.6656991196597826,0.7800264693034556,0.6851161392306944,0.6232779023420338,0.21488954708132793,0.6164383561643836
extra_trees,full,71,all,333,-0.007796542076424329,0.6665565267109422,0.472280267059457,0.3608746085653814,0.23170201440167534,0.6096096096096096
extra_trees,full,71,below_trend_z_lt_minus_1,73,-3.542633504249906,0.7696704725996583,0.6781843909644047,0.5948515622952216,0.22044304578551155,0.589041095890411
extra_trees,metadata_only,7,all,333,-0.03062820793412202,0.6740646712450394,0.4931358218097435,0.3725985982905814,0.04987697298677259,0.46846846846846846
extra_trees,metadata_only,7,below_trend_z_lt_minus_1,73,-4.172565456117603,0.8213040670789402,0.7376537507696344,0.6553922735042784,0.036760295565214714,0.863013698630137
extra_trees,weather_only,7,all,333,-0.008157665571403072,0.666675939535367,0.4717555638485736,0.36198155143978483,0.23515696380866566,0.6606606606606606
extra_trees,weather_only,7,below_trend_z_lt_minus_1,73,-3.640006544614536,0.7778758211294553,0.6820520158104539,0.6407106252492829,0.19779627700880273,0.6027397260273972
random_forest,full,7,all,333,-0.001785496098975825,0.6645657010918136,0.4748017257727219,0.3626502745942037,0.24719983673161658,0.6276276276276276
random_forest,full,7,below_trend_z_lt_minus_1,73,-3.5094503376515034,0.7668541639363763,0.6670914439971286,0.6198888787133593,0.028538812785388133,0.6986301369863014
random_forest,metadata_only,7,all,333,-0.034522117637851624,0.6753368431194438,0.49475855298455423,0.3765275134336572,-0.12813336441130893,0.42042042042042044
random_forest,metadata_only,7,below_trend_z_lt_minus_1,73,-4.14098149031396,0.818792764035136,0.7354405134880074,0.6545061504669555,0.18655308952103075,0.6301369863013698
random_forest,weather_only,7,all,333,-0.010789973758137616,0.6675457204109398,0.475181234100398,0.3550865001734832,0.2459793459076214,0.6126126126126126
random_forest,weather_only,7,below_trend_z_lt_minus_1,73,-3.5112556430013733,0.7670076490943389,0.6655409388712356,0.6248467028393979,-0.022824428001561925,0.6575342465753424
ridge_panel,full,7,all,333,-0.04697621982600508,0.6793897058040479,0.501110491300784,0.40565903407228077,0.13315797581002115,0.4954954954954955
ridge_panel,full,7,below_trend_z_lt_minus_1,73,-3.471795065968209,0.7636457201390667,0.6702830265424068,0.594700761320985,0.09397753918301864,0.8356164383561644
ridge_panel,metadata_only,7,all,333,-0.030628207934119578,0.6740646712450385,0.4931358218097464,0.37259859829060027,0.0853183688172181,0.45645645645645644
ridge_panel,metadata_only,7,below_trend_z_lt_minus_1,73,-4.172565456117736,0.8213040670789509,0.7376537507696412,0.655392273504284,0.07361334208643922,0.7808219178082192
ridge_panel,weather_only,7,all,333,-0.03256607890980523,0.6746980892415307,0.49379306157236186,0.39628814552816943,0.11636977512010588,0.5675675675675675
ridge_panel,weather_only,7,below_trend_z_lt_minus_1,73,-4.003658355880338,0.8077831696969571,0.7188430847703509,0.6326573843220828,0.06189910798800871,0.684931506849315
