fold,year,n_test,r2,rmse_t_ha,mae_t_ha,median_ae_t_ha,spearman,sign_accuracy
1,2004,35,-0.039232347927251165,0.4725933637622421,0.3994391187794231,0.36557722252743724,0.30336134453781516,0.6857142857142857
1,2005,34,-0.1529316139407233,0.39125521271430846,0.30821704559562885,0.2464783513621857,-0.29106187929717336,0.5882352941176471
1,2006,34,-0.05283431240440084,0.4348347883632842,0.3655805094739781,0.301236452438169,0.08449197860962566,0.5
2,2007,34,-0.2590755234018831,0.43204385246320276,0.347451940405733,0.2879174089363906,0.146524064171123,0.5
2,2008,34,0.07720598117703592,0.35226900627419916,0.25287974860951584,0.14856919963652282,0.414514896867838,0.7352941176470589
2,2009,34,-0.12872149600687655,0.5349834835073616,0.40096346262780425,0.3015933298955823,-0.0239877769289534,0.6470588235294118
3,2010,34,0.39810276454948135,0.2736322311506327,0.23047267992100173,0.2061214968108475,0.6186401833460657,0.6470588235294118
3,2011,34,-0.497751419635732,0.47821748341651116,0.3873566156371499,0.39438399881116715,0.045072574484339184,0.5
3,2012,34,-0.0690594656347494,0.394555165888174,0.3219303277525282,0.28759612178173166,0.11138273491214666,0.47058823529411764
4,2013,35,-0.08623700132946066,0.3094494876252694,0.2509264401710268,0.22587300806982724,0.01708683473389356,0.5428571428571428
4,2014,35,0.08408568838004027,0.463297355233376,0.3756702217651012,0.29712241744894796,0.2882352941176471,0.6285714285714286
4,2015,35,0.23125029547003617,0.3987621927500428,0.31955405880829707,0.23975231184123247,0.18851540616246498,0.6571428571428571
5,2016,34,-0.4807538488220189,0.48313218156337656,0.36022912493396353,0.2283598343891373,-0.12971734148204736,0.6764705882352942
5,2017,34,0.03040388397052063,0.5158077558916803,0.39516147430128945,0.33297844889042294,0.27731092436974786,0.6764705882352942
5,2018,36,-0.15851452267741428,0.4979883716995546,0.37606106216935564,0.3182770998672452,0.012870012870012871,0.5277777777777778
5,2019,33,-0.15557544768495934,0.5669388895588247,0.4179751614751933,0.34705598453575237,0.23830213903743316,0.6666666666666666
5,2020,33,-0.0831377098515409,0.6528646856824064,0.44205604241916147,0.3237876454214307,0.00033422459893048126,0.5151515151515151
5,2021,33,-0.02374245449148704,0.8444959450119597,0.6811351691354387,0.555673460537699,0.21557486631016043,0.7272727272727273
5,2022,33,0.040024899188830454,0.716073308432428,0.48723620925545663,0.34488400879789666,0.3990641711229947,0.5757575757575758
5,2023,33,0.05393975518336214,0.667555083589162,0.48584292062101686,0.43277882779812804,0.3622994652406417,0.696969696969697
5,2024,32,-0.3139045859387908,0.8409221572787009,0.5392196503079176,0.29561432820178113,-0.027492668621700876,0.8125
5,2025,32,-0.17241396527043507,0.8076629328718277,0.5668983108460471,0.45838546910035094,0.06781524926686217,0.59375
