row_id,eligible_history_3,eligible_history_5,eligible_history_8,eligible_history_10
Barley|Colorado|2016|spring,True,True,True,True
Barley|Minnesota|2016|spring,True,True,True,True
Barley|Montana|2016|spring,True,True,True,True
Barley|North Dakota|2016|spring,True,True,True,True
Barley|Washington|2016|spring,True,True,True,True
Canola|Minnesota|2016|spring,True,True,True,True
Canola|Montana|2016|spring,True,True,True,True
Canola|North Dakota|2016|spring,True,True,True,True
Canola|Oklahoma|2016|spring,True,True,False,False
Canola|Washington|2016|spring,True,True,False,False
Oats|Colorado|2016|spring,True,True,True,True
Oats|Illinois|2016|spring,True,True,True,True
Oats|Iowa|2016|spring,True,True,True,True
Oats|Kansas|2016|spring,True,True,True,True
Oats|Minnesota|2016|spring,True,True,True,True
Oats|Montana|2016|spring,True,True,True,True
Oats|Nebraska|2016|spring,True,True,True,True
Oats|North Dakota|2016|spring,True,True,True,True
Oats|Oklahoma|2016|spring,True,True,True,True
Oats|South Dakota|2016|spring,True,True,True,True
Oats|Texas|2016|spring,True,True,True,True
Oats|Washington|2016|spring,True,True,True,True
Wheat|Colorado|2016|winter,True,True,True,True
Wheat|Illinois|2016|winter,True,True,True,True
Wheat|Iowa|2016|winter,True,True,True,True
Wheat|Kansas|2016|winter,True,True,True,True
Wheat|Minnesota|2016|spring,True,True,True,True
Wheat|Montana|2016|spring,True,True,True,True
Wheat|Nebraska|2016|winter,True,True,True,True
Wheat|North Dakota|2016|spring,True,True,True,True
Wheat|Oklahoma|2016|winter,True,True,True,True
Wheat|South Dakota|2016|spring,True,True,True,True
Wheat|Texas|2016|winter,True,True,True,True
Wheat|Washington|2016|winter,True,True,True,True
Barley|Colorado|2017|spring,True,True,True,True
Barley|Minnesota|2017|spring,True,True,True,True
Barley|Montana|2017|spring,True,True,True,True
Barley|North Dakota|2017|spring,True,True,True,True
Barley|Washington|2017|spring,True,True,True,True
Canola|Minnesota|2017|spring,True,True,True,True
Canola|Montana|2017|spring,True,True,True,True
Canola|North Dakota|2017|spring,True,True,True,True
Canola|Oklahoma|2017|spring,True,True,False,False
Canola|Washington|2017|spring,True,True,False,False
Oats|Colorado|2017|spring,True,True,True,True
Oats|Illinois|2017|spring,True,True,True,True
Oats|Iowa|2017|spring,True,True,True,True
Oats|Kansas|2017|spring,True,True,True,True
Oats|Minnesota|2017|spring,True,True,True,True
Oats|Montana|2017|spring,True,True,True,True
Oats|Nebraska|2017|spring,True,True,True,True
Oats|North Dakota|2017|spring,True,True,True,True
Oats|Oklahoma|2017|spring,True,True,True,True
Oats|South Dakota|2017|spring,True,True,True,True
Oats|Texas|2017|spring,True,True,True,True
Oats|Washington|2017|spring,True,True,True,True
Wheat|Colorado|2017|winter,True,True,True,True
Wheat|Illinois|2017|winter,True,True,True,True
Wheat|Iowa|2017|winter,True,True,True,True
Wheat|Kansas|2017|winter,True,True,True,True
Wheat|Minnesota|2017|spring,True,True,True,True
Wheat|Montana|2017|spring,True,True,True,True
Wheat|Nebraska|2017|winter,True,True,True,True
Wheat|North Dakota|2017|spring,True,True,True,True
Wheat|Oklahoma|2017|winter,True,True,True,True
Wheat|South Dakota|2017|spring,True,True,True,True
Wheat|Texas|2017|winter,True,True,True,True
Wheat|Washington|2017|winter,True,True,True,True
Barley|Colorado|2018|spring,True,True,True,True
Barley|Kansas|2018|spring,True,True,True,True
Barley|Minnesota|2018|spring,True,True,True,True
Barley|Montana|2018|spring,True,True,True,True
Barley|North Dakota|2018|spring,True,True,True,True
Barley|South Dakota|2018|spring,True,True,True,True
Barley|Washington|2018|spring,True,True,True,True
Canola|Minnesota|2018|spring,True,True,True,True
Canola|Montana|2018|spring,True,True,True,True
Canola|North Dakota|2018|spring,True,True,True,True
Canola|Oklahoma|2018|spring,True,True,False,False
Canola|Washington|2018|spring,True,True,False,False
Oats|Colorado|2018|spring,True,True,True,True
Oats|Illinois|2018|spring,True,True,True,True
Oats|Iowa|2018|spring,True,True,True,True
Oats|Kansas|2018|spring,True,True,True,True
Oats|Minnesota|2018|spring,True,True,True,True
Oats|Montana|2018|spring,True,True,True,True
Oats|Nebraska|2018|spring,True,True,True,True
Oats|North Dakota|2018|spring,True,True,True,True
Oats|Oklahoma|2018|spring,True,True,True,True
Oats|South Dakota|2018|spring,True,True,True,True
Oats|Texas|2018|spring,True,True,True,True
Oats|Washington|2018|spring,True,True,True,True
Wheat|Colorado|2018|winter,True,True,True,True
Wheat|Illinois|2018|winter,True,True,True,True
Wheat|Iowa|2018|winter,True,True,True,True
Wheat|Kansas|2018|winter,True,True,True,True
Wheat|Minnesota|2018|spring,True,True,True,True
Wheat|Montana|2018|spring,True,True,True,True
Wheat|Nebraska|2018|winter,True,True,True,True
Wheat|North Dakota|2018|spring,True,True,True,True
Wheat|Oklahoma|2018|winter,True,True,True,True
Wheat|South Dakota|2018|spring,True,True,True,True
Wheat|Texas|2018|winter,True,True,True,True
Wheat|Washington|2018|winter,True,True,True,True
Barley|Colorado|2019|spring,True,True,True,True
Barley|Kansas|2019|spring,True,True,True,True
Barley|Minnesota|2019|spring,True,True,True,True
Barley|Montana|2019|spring,True,True,True,True
Barley|North Dakota|2019|spring,True,True,True,True
Barley|South Dakota|2019|spring,True,True,True,True
Barley|Washington|2019|spring,True,True,True,True
Canola|Minnesota|2019|spring,True,True,True,True
Canola|Montana|2019|spring,True,True,True,True
Canola|North Dakota|2019|spring,True,True,True,True
Canola|Oklahoma|2019|spring,True,True,False,False
Canola|Washington|2019|spring,True,True,False,False
Oats|Illinois|2019|spring,True,True,True,True
Oats|Iowa|2019|spring,True,True,True,True
Oats|Kansas|2019|spring,True,True,True,True
Oats|Minnesota|2019|spring,True,True,True,True
Oats|Montana|2019|spring,True,True,True,True
Oats|Nebraska|2019|spring,True,True,True,True
Oats|North Dakota|2019|spring,True,True,True,True
Oats|Oklahoma|2019|spring,True,True,True,True
Oats|South Dakota|2019|spring,True,True,True,True
Oats|Texas|2019|spring,True,True,True,True
Wheat|Colorado|2019|winter,True,True,True,True
Wheat|Illinois|2019|winter,True,True,True,True
Wheat|Kansas|2019|winter,True,True,True,True
Wheat|Minnesota|2019|spring,True,True,True,True
Wheat|Montana|2019|spring,True,True,True,True
Wheat|Nebraska|2019|winter,True,True,True,True
Wheat|North Dakota|2019|spring,True,True,True,True
Wheat|Oklahoma|2019|winter,True,True,True,True
Wheat|South Dakota|2019|spring,True,True,True,True
Wheat|Texas|2019|winter,True,True,True,True
Wheat|Washington|2019|winter,True,True,True,True
Barley|Colorado|2020|spring,True,True,True,True
Barley|Kansas|2020|spring,True,True,True,True
Barley|Minnesota|2020|spring,True,True,True,True
Barley|Montana|2020|spring,True,True,True,True
Barley|North Dakota|2020|spring,True,True,True,True
Barley|South Dakota|2020|spring,True,True,True,True
Barley|Washington|2020|spring,True,True,True,True
Canola|Minnesota|2020|spring,True,True,True,True
Canola|Montana|2020|spring,True,True,True,True
Canola|North Dakota|2020|spring,True,True,True,True
Canola|Oklahoma|2020|spring,True,True,False,False
Canola|Washington|2020|spring,True,True,False,False
Oats|Illinois|2020|spring,True,True,True,True
Oats|Iowa|2020|spring,True,True,True,True
Oats|Kansas|2020|spring,True,True,True,True
Oats|Minnesota|2020|spring,True,True,True,True
Oats|Montana|2020|spring,True,True,True,True
Oats|Nebraska|2020|spring,True,True,True,True
