,Barley,Canola,Oats,Wheat
Colorado,36 (1990--2025),--,29 (1990--2018),36 (1990--2025)
Illinois,--,--,36 (1990--2025),36 (1990--2025)
Iowa,--,--,36 (1990--2025),29 (1990--2018)
Kansas,34 (1990--2025),10 (2016--2025),36 (1990--2025),36 (1990--2025)
Minnesota,36 (1990--2025),29 (1997--2025),36 (1990--2025),36 (1990--2025)
Montana,36 (1990--2025),27 (1999--2025),36 (1990--2025),36 (1990--2025)
Nebraska,15 (1990--2004),--,36 (1990--2025),36 (1990--2025)
North Dakota,36 (1990--2025),35 (1991--2025),36 (1990--2025),36 (1990--2025)
Oklahoma,10 (1990--1999),17 (2009--2025),34 (1990--2023),36 (1990--2025)
South Dakota,34 (1990--2025),--,36 (1990--2025),36 (1990--2025)
Texas,10 (1990--1999),--,36 (1990--2025),36 (1990--2025)
Washington,36 (1990--2025),15 (2011--2025),29 (1990--2018),36 (1990--2025)
