feature_a,feature_b,abs_correlation
rain_sum,heavy_rain_days_10,0.9301252019690851
dry_days_1mm,dry_days_2mm,0.9855585062806174
dry_days_1mm,dry_spell_events_7d,0.8603949858704726
heavy_rain_days_20,heavy_rain_days_25,0.9029399634139104
max_1day_rain,max_3day_rain,0.8785129198996405
max_3day_rain,max_7day_rain,0.9028387327486461
season_tmax_mean,season_tmin_mean,0.9635626543029695
season_tmax_mean,season_tmean_mean,0.9911834514052402
season_tmax_mean,frost_days_0,0.8626819265766287
season_tmax_mean,cold_days_5,0.9065791473413579
season_tmin_mean,season_tmean_mean,0.9905079221666958
season_tmin_mean,growing_degree_days_base5,0.8563906897966866
season_tmin_mean,cold_days_5,0.8929205610983287
season_tmean_mean,frost_days_0,0.8610443354636006
season_tmean_mean,cold_days_5,0.9081840266403534
growing_degree_days_base5,heat_days_30,0.8957062224273047
growing_degree_days_base5,hot_dry_days_30_1mm,0.8750566747862932
heat_days_30,heat_days_35,0.9018637189492545
heat_days_30,max_consecutive_heat_days_30,0.8657693399366715
heat_days_30,heatwave_events_3d_30,0.8688797245740397
heat_days_30,heatwave_events_3d_35,0.8739011496409511
heat_days_30,heat_degree_days_30,0.9485926967689772
heat_days_30,hot_dry_days_30_1mm,0.987226617152851
heat_days_35,max_consecutive_heat_days_30,0.9232825869288047
heat_days_35,max_consecutive_heat_days_35,0.910295850587839
heat_days_35,heatwave_events_3d_35,0.9175099811832259
heat_days_35,heat_degree_days_30,0.9867420907843041
heat_days_35,heat_degree_days_35,0.9437930443688087
heat_days_35,hot_dry_days_30_1mm,0.9132999637591257
heat_days_40,heat_degree_days_35,0.9035430378372862
max_consecutive_heat_days_30,max_consecutive_heat_days_35,0.8962556679315393
max_consecutive_heat_days_30,heat_degree_days_30,0.9296282332547687
max_consecutive_heat_days_30,heat_degree_days_35,0.8975040679917338
max_consecutive_heat_days_30,hot_dry_days_30_1mm,0.8835517287340416
max_consecutive_heat_days_35,heat_degree_days_30,0.8990104041942113
max_consecutive_heat_days_35,heat_degree_days_35,0.9235647196693508
heatwave_events_3d_35,heat_degree_days_30,0.913143531517583
heatwave_events_3d_35,hot_dry_days_30_1mm,0.8694407057212895
heat_degree_days_30,heat_degree_days_35,0.930711378072709
heat_degree_days_30,hot_dry_days_30_1mm,0.9537874277687999
frost_days_0,cold_days_5,0.9812049969994108
frost_days_0,min_tmin,0.8552177293268031
cold_days_5,min_tmin,0.8565730430054614
