method,row_id,event_key,row_scope,present_in_scored_panel,output_scale,interpretation_status
SHAP,Barley|Colorado|2016|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Colorado|2017|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Colorado|2018|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Colorado|2019|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Colorado|2020|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Colorado|2021|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Colorado|2022|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Colorado|2023|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Colorado|2024|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Colorado|2025|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Kansas|2018|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Kansas|2019|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Kansas|2020|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Kansas|2021|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Kansas|2022|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Kansas|2023|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Kansas|2024|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Kansas|2025|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Minnesota|2016|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Minnesota|2017|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Minnesota|2018|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Minnesota|2019|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Minnesota|2020|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Minnesota|2021|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Minnesota|2022|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Minnesota|2023|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Minnesota|2024|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Minnesota|2025|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Montana|2016|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Montana|2017|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Montana|2018|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Montana|2019|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Montana|2020|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Montana|2021|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Montana|2022|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Montana|2023|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Montana|2024|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Montana|2025|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|North Dakota|2016|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|North Dakota|2017|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|North Dakota|2018|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|North Dakota|2019|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|North Dakota|2020|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|North Dakota|2021|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|North Dakota|2022|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|North Dakota|2023|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|North Dakota|2024|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|North Dakota|2025|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|South Dakota|2018|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|South Dakota|2019|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|South Dakota|2020|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|South Dakota|2021|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|South Dakota|2022|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|South Dakota|2023|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|South Dakota|2024|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|South Dakota|2025|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Washington|2016|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Washington|2017|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Washington|2018|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Washington|2019|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Washington|2020|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Washington|2021|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Washington|2022|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Washington|2023|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Washington|2024|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Barley|Washington|2025|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Minnesota|2016|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Minnesota|2017|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Minnesota|2018|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Minnesota|2019|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Minnesota|2020|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Minnesota|2021|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Minnesota|2022|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Minnesota|2023|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Minnesota|2024|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Minnesota|2025|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Montana|2016|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
SHAP,Canola|Montana|2017|spring,,locked_2016_2025,True,predicted raw residual t/ha,descriptive_only_gate_failed
