protocol,driver_group,n_features,importance,ci95_low,ci95_high,rank
sum_abs,heat,12,0.056708499342780654,,,3
mean_abs_per_feature,heat,12,0.004725708278565054,,,4
balanced_random_k_2,heat,12,0.009559889381501381,0.004104465434209493,0.024086793221097604,4
sum_abs,drought,8,0.07571967444328485,,,1
mean_abs_per_feature,drought,8,0.009464959305410607,,,1
balanced_random_k_2,drought,8,0.018401250260212706,0.007934804022094535,0.03433687710883528,1
sum_abs,frost_cold,5,0.03312887415090185,,,4
mean_abs_per_feature,frost_cold,5,0.00662577483018037,,,3
balanced_random_k_2,frost_cold,5,0.012395888745740657,0.00478281482790714,0.024185967526179228,3
sum_abs,excess_rain,8,0.05774268282291301,,,2
mean_abs_per_feature,excess_rain,8,0.0072178353528641265,,,2
balanced_random_k_2,excess_rain,8,0.014814015259214282,0.010388052306056208,0.020597621277107986,2
sum_abs,radiation,2,0.007918980237024009,,,5
mean_abs_per_feature,radiation,2,0.0039594901185120044,,,5
balanced_random_k_2,radiation,2,0.007918980237024005,0.007918980237024009,0.007918980237024009,5
