crop,region,fit_year_min,fit_year_max,evaluation_year_min,evaluation_year_max,n_fit,n_evaluation,trend_slope_t_ha_per_year,residual_scale_t_ha,future_access,excluded_evaluation_rows_insufficient_history,fold
Barley,Colorado,1990,2011,2012,2015,22,4,0.12862179559570722,0.3506499239217027,False,4,selection_validation
Barley,Kansas,1990,2011,2012,2015,22,4,0.003189723320158117,0.43515202275305986,False,4,selection_validation
Barley,Minnesota,1990,2011,2012,2015,22,4,0.00024184076792838449,0.49855344649939853,False,4,selection_validation
Barley,Montana,1990,2011,2012,2015,22,4,0.015037267080745147,0.34562382618918575,False,4,selection_validation
Barley,North Dakota,1990,2011,2012,2015,22,4,0.016739525691699772,0.35769377397716806,False,4,selection_validation
Barley,South Dakota,1990,2011,2012,2015,22,4,-0.0040399209486164395,0.41171613125404904,False,4,selection_validation
Barley,Washington,1990,2011,2012,2015,22,4,0.017681140598531445,0.46040356509393265,False,4,selection_validation
Canola,Minnesota,1997,2011,2012,2015,15,4,0.012569285714288364,0.2956831991769402,False,4,selection_validation
Canola,Montana,1999,2011,2012,2015,13,4,0.06731373626373335,0.27640471457781474,False,4,selection_validation
Canola,North Dakota,1991,2011,2012,2015,21,4,0.014004155844154898,0.16939936147576867,False,4,selection_validation
Canola,Oklahoma,2009,2011,2012,2015,3,4,-0.1401000000001495,0.2749919332150188,False,4,selection_validation
Oats,Colorado,1990,2011,2012,2015,22,4,0.015918746470920307,0.22448382481952575,False,4,selection_validation
Oats,Illinois,1990,2011,2012,2015,22,4,0.018896725014116125,0.29307453490698154,False,4,selection_validation
Oats,Iowa,1990,2011,2012,2015,22,4,0.019664539808017863,0.30699932380066897,False,4,selection_validation
Oats,Kansas,1990,2011,2012,2015,22,4,-0.0026121400338789506,0.25616796547261056,False,4,selection_validation
Oats,Minnesota,1990,2011,2012,2015,22,4,0.018146301524562484,0.28245996764980474,False,4,selection_validation
Oats,Montana,1990,2011,2012,2015,22,4,0.0018837944664031108,0.2422933421835573,False,4,selection_validation
Oats,Nebraska,1990,2011,2012,2015,22,4,0.02314771315640891,0.35454732317934584,False,4,selection_validation
Oats,North Dakota,1990,2011,2012,2015,22,4,0.000608074534161637,0.30490298300828444,False,4,selection_validation
Oats,Oklahoma,1990,2011,2012,2015,22,4,-0.006279559570863885,0.12960015983753947,False,4,selection_validation
Oats,South Dakota,1990,2011,2012,2015,22,4,0.026934726143421815,0.2936706447948232,False,4,selection_validation
Oats,Texas,1990,2011,2012,2015,22,4,0.00024302653867871012,0.19881512053668293,False,4,selection_validation
Oats,Washington,1990,2011,2012,2015,22,4,0.009782213438735083,0.40558608378129607,False,4,selection_validation
Wheat,Colorado,1990,2011,2012,2015,22,4,0.004674590626764239,0.41396739708492103,False,4,selection_validation
Wheat,Illinois,1990,2011,2012,2015,22,4,0.057568831168830735,0.45900827538373135,False,4,selection_validation
Wheat,Iowa,1990,2011,2012,2015,22,4,0.05228881987577574,0.5118665054530271,False,4,selection_validation
Wheat,Kansas,1990,2011,2012,2015,22,4,0.012417447769621434,0.412053333347437,False,4,selection_validation
Wheat,Minnesota,1990,2011,2012,2015,22,4,0.055670581592320814,0.5005409350739005,False,4,selection_validation
