replicate,sampled_years
0,2024|2024|2017|2025|2020|2021|2018|2020|2022|2020
1,2019|2017|2025|2021|2022|2019|2023|2018|2016|2016
2,2021|2020|2022|2019|2024|2024|2018|2020|2017|2023
3,2016|2017|2017|2021|2018|2022|2016|2019|2025|2023
4,2024|2025|2019|2025|2016|2018|2022|2022|2024|2025
5,2021|2017|2023|2024|2019|2021|2018|2024|2020|2023
6,2023|2016|2018|2020|2016|2025|2025|2018|2017|2021
7,2025|2016|2021|2023|2020|2019|2024|2020|2019|2025
8,2024|2019|2025|2019|2025|2024|2019|2021|2025|2017
9,2019|2021|2021|2019|2017|2025|2022|2016|2019|2024
10,2022|2022|2020|2022|2021|2018|2020|2021|2018|2017
11,2024|2023|2024|2018|2021|2020|2022|2021|2020|2021
12,2025|2023|2019|2016|2017|2023|2020|2018|2025|2025
13,2018|2021|2017|2020|2025|2019|2023|2018|2020|2017
14,2016|2023|2024|2020|2024|2022|2019|2022|2023|2020
15,2024|2019|2024|2019|2024|2016|2017|2020|2017|2024
16,2022|2022|2016|2023|2017|2016|2022|2018|2021|2019
17,2023|2023|2016|2019|2024|2018|2020|2019|2025|2018
18,2025|2016|2018|2019|2017|2025|2022|2020|2017|2022
19,2018|2021|2024|2024|2021|2021|2019|2018|2017|2016
20,2020|2017|2025|2016|2019|2018|2024|2020|2023|2025
21,2019|2021|2025|2024|2021|2023|2020|2023|2019|2019
22,2016|2019|2017|2016|2022|2025|2020|2022|2023|2017
23,2022|2017|2025|2016|2024|2022|2025|2016|2025|2016
24,2022|2019|2023|2016|2024|2019|2020|2021|2025|2017
25,2024|2025|2017|2023|2022|2020|2016|2024|2017|2018
26,2017|2020|2016|2017|2016|2020|2017|2019|2019|2017
27,2025|2023|2021|2017|2023|2019|2024|2020|2021|2019
28,2018|2024|2020|2017|2020|2025|2018|2023|2023|2019
29,2021|2021|2022|2019|2022|2021|2021|2021|2021|2016
30,2025|2016|2020|2019|2018|2018|2022|2019|2022|2016
31,2022|2016|2020|2019|2024|2023|2019|2024|2020|2018
32,2016|2019|2018|2025|2024|2019|2021|2017|2022|2020
33,2025|2016|2019|2022|2023|2024|2022|2022|2020|2025
34,2022|2021|2019|2025|2025|2019|2023|2020|2023|2024
35,2025|2021|2024|2019|2022|2025|2017|2018|2022|2020
36,2022|2018|2018|2016|2020|2025|2016|2016|2019|2021
37,2019|2017|2023|2018|2018|2025|2018|2016|2020|2016
38,2020|2021|2021|2020|2021|2017|2016|2017|2019|2019
39,2019|2023|2021|2023|2025|2022|2024|2016|2017|2025
40,2017|2022|2024|2016|2020|2016|2020|2025|2016|2017
41,2025|2016|2019|2016|2025|2018|2022|2020|2016|2019
42,2023|2018|2019|2022|2016|2025|2023|2020|2020|2016
43,2024|2022|2019|2025|2025|2019|2016|2023|2018|2021
44,2017|2017|2024|2018|2022|2023|2019|2016|2016|2023
45,2018|2021|2020|2025|2024|2021|2017|2020|2019|2019
46,2023|2025|2023|2022|2016|2019|2020|2025|2021|2019
47,2022|2025|2020|2020|2020|2021|2025|2022|2018|2016
48,2023|2025|2018|2024|2018|2020|2025|2025|2020|2020
49,2022|2019|2020|2016|2018|2023|2016|2016|2024|2025
50,2021|2025|2019|2017|2019|2020|2018|2019|2025|2020
51,2020|2023|2024|2024|2019|2020|2018|2024|2025|2022
52,2016|2019|2020|2025|2025|2016|2022|2016|2021|2025
53,2016|2016|2022|2018|2016|2017|2022|2024|2020|2016
54,2022|2021|2025|2018|2025|2018|2022|2019|2023|2021
55,2017|2016|2021|2016|2019|2020|2019|2019|2022|2019
56,2020|2020|2017|2022|2023|2019|2025|2016|2017|2024
57,2023|2023|2021|2016|2017|2016|2016|2019|2018|2018
58,2019|2020|2017|2019|2025|2017|2019|2021|2020|2020
59,2017|2017|2021|2016|2018|2021|2018|2021|2017|2024
60,2022|2021|2019|2016|2016|2021|2022|2025|2016|2017
61,2025|2024|2017|2016|2025|2017|2023|2024|2021|2017
62,2025|2017|2022|2017|2019|2023|2025|2025|2016|2019
63,2017|2022|2024|2025|2024|2023|2024|2016|2023|2016
64,2022|2019|2021|2016|2018|2021|2022|2023|2025|2017
65,2025|2022|2022|2025|2016|2024|2017|2025|2018|2016
66,2025|2023|2021|2022|2018|2023|2021|2019|2023|2016
67,2017|2021|2016|2024|2018|2023|2022|2020|2017|2023
68,2024|2025|2020|2018|2017|2022|2018|2022|2021|2025
69,2023|2018|2020|2019|2018|2018|2025|2016|2018|2022
70,2019|2022|2016|2025|2021|2024|2021|2024|2022|2025
71,2018|2018|2022|2022|2019|2025|2023|2018|2022|2016
72,2020|2017|2018|2017|2017|2020|2016|2018|2020|2017
73,2025|2020|2021|2016|2018|2018|2021|2021|2022|2017
74,2016|2019|2019|2021|2024|2019|2025|2017|2018|2019
75,2022|2017|2019|2025|2016|2025|2022|2017|2017|2017
76,2024|2024|2018|2020|2017|2016|2020|2016|2018|2019
77,2019|2019|2021|2016|2025|2025|2021|2016|2021|2024
78,2021|2025|2017|2019|2023|2024|2023|2025|2025|2020
79,2017|2021|2017|2025|2025|2022|2023|2016|2021|2016
80,2022|2019|2021|2022|2017|2025|2022|2019|2020|2018
81,2023|2019|2019|2021|2023|2017|2021|2019|2018|2017
82,2018|2021|2016|2024|2016|2023|2021|2023|2020|2023
83,2020|2018|2018|2021|2020|2019|2018|2016|2022|2023
84,2017|2018|2022|2019|2021|2025|2017|2022|2020|2021
85,2018|2021|2019|2016|2017|2019|2025|2017|2024|2020
86,2016|2018|2016|2024|2023|2020|2024|2024|2019|2020
87,2019|2016|2017|2017|2024|2018|2017|2019|2017|2021
88,2022|2017|2016|2024|2022|2017|2019|2022|2016|2018
89,2023|2019|2019|2021|2023|2020|2025|2025|2021|2025
90,2024|2019|2019|2024|2022|2020|2024|2019|2021|2025
91,2018|2021|2020|2021|2018|2023|2024|2016|2016|2022
92,2018|2024|2018|2022|2017|2016|2025|2021|2019|2023
93,2023|2025|2021|2025|2018|2020|2016|2021|2019|2017
94,2019|2023|2016|2023|2018|2022|2019|2018|2025|2018
95,2019|2017|2025|2021|2016|2022|2018|2022|2017|2020
96,2025|2018|2019|2025|2017|2016|2022|2017|2025|2019
97,2018|2016|2023|2023|2025|2017|2016|2018|2020|2019
98,2025|2017|2021|2021|2023|2022|2021|2017|2021|2017
99,2025|2023|2018|2018|2022|2019|2022|2019|2023|2020
100,2020|2022|2024|2016|2023|2016|2025|2020|2024|2019
101,2022|2018|2023|2025|2022|2016|2025|2017|2017|2018
102,2023|2023|2019|2024|2019|2023|2021|2019|2023|2019
103,2017|2019|2020|2016|2016|2025|2023|2017|2025|2017
104,2017|2024|2022|2019|2017|2017|2021|2018|2020|2021
105,2021|2021|2019|2018|2020|2025|2020|2023|2025|2023
106,2016|2025|2016|2016|2020|2024|2016|2023|2025|2025
107,2024|2022|2021|2021|2017|2023|2020|2019|2025|2025
108,2022|2023|2019|2020|2024|2017|2016|2020|2017|2020
109,2018|2020|2025|2018|2017|2017|2024|2018|2023|2021
110,2019|2017|2024|2023|2023|2016|2025|2016|2016|2020
111,2018|2021|2025|2017|2019|2025|2016|2022|2020|2025
112,2017|2025|2024|2022|2022|2016|2024|2017|2023|2018
113,2025|2021|2025|2023|2022|2018|2021|2019|2022|2025
114,2016|2020|2024|2019|2016|2019|2023|2022|2020|2021
115,2019|2018|2020|2024|2021|2025|2024|2019|2019|2019
116,2020|2021|2023|2017|2022|2016|2025|2019|2017|2022
117,2018|2025|2016|2020|2018|2024|2019|2019|2021|2021
118,2019|2021|2017|2016|2020|2025|2024|2017|2020|2024
119,2021|2019|2016|2020|2020|2016|2024|2018|2025|2022
120,2018|2022|2023|2025|2024|2025|2024|2019|2017|2016
121,2023|2021|2017|2018|2019|2024|2017|2016|2016|2017
122,2017|2016|2018|2021|2025|2018|2019|2018|2021|2024
123,2019|2025|2017|2021|2016|2022|2019|2023|2023|2025
124,2025|2025|2021|2017|2016|2018|2016|2024|2017|2022
125,2020|2024|2019|2016|2025|2022|2017|2020|2021|2017
126,2018|2023|2016|2021|2017|2019|2017|2020|2019|2024
127,2023|2018|2022|2025|2016|2025|2017|2022|2021|2018
128,2022|2023|2023|2022|2018|2022|2020|2019|2019|2016
129,2022|2022|2025|2018|2019|2024|2016|2018|2023|2017
130,2023|2021|2016|2019|2018|2022|2021|2025|2021|2018
131,2018|2021|2016|2017|2022|2023|2022|2022|2016|2022
132,2021|2017|2017|2017|2021|2024|2023|2018|2020|2018
133,2020|2020|2023|2019|2020|2019|2016|2018|2020|2017
134,2025|2019|2017|2024|2025|2018|2024|2017|2020|2018
135,2020|2019|2016|2022|2018|2021|2020|2019|2023|2016
136,2020|2024|2023|2025|2016|2016|2017|2023|2020|2025
137,2024|2021|2019|2018|2019|2018|2024|2017|2025|2021
138,2025|2019|2022|2017|2018|2023|2020|2019|2019|2016
139,2020|2018|2016|2021|2018|2018|2022|2020|2019|2021
140,2022|2021|2016|2023|2024|2017|2017|2022|2023|2020
141,2018|2025|2023|2016|2018|2017|2016|2020|2020|2016
142,2024|2023|2023|2023|2020|2025|2018|2019|2024|2022
143,2017|2018|2019|2018|2017|2020|2021|2017|2025|2023
144,2016|2024|2023|2020|2021|2017|2016|2021|2023|2020
145,2021|2019|2023|2018|2021|2021|2025|2018|2024|2016
146,2021|2018|2021|2025|2020|2020|2024|2025|2025|2022
147,2022|2025|2023|2017|2024|2025|2018|2025|2022|2024
148,2024|2018|2022|2017|2021|2020|2021|2023|2017|2020
149,2024|2017|2022|2025|2016|2019|2019|2021|2019|2018
