county_fips,county_lat,county_lon,census_county_name,source_state_fips
08001,39.8743252,-104.3318718,Adams County,08
08005,39.6445537,-104.3317065,Arapahoe County,08
08009,37.3097802,-102.5437412,Baca County,08
08017,38.8356579,-102.601798,Cheyenne County,08
08033,37.7338227,-108.5062192,Dolores County,08
08035,39.3257816,-104.9258104,Douglas County,08
08039,39.3151572,-104.1140759,Elbert County,08
08061,38.387663,-102.7568494,Kiowa County,08
08063,39.3053399,-102.6030226,Kit Carson County,08
08069,40.6580933,-105.4867638,Larimer County,08
08073,38.9937401,-103.5075545,Lincoln County,08
08075,40.7280911,-103.0904639,Logan County,08
08077,39.022251,-108.4381748,Mesa County,08
08083,37.3380247,-108.5957864,Montezuma County,08
08087,40.2620846,-103.8072353,Morgan County,08
08089,37.8841698,-103.7212597,Otero County,08
08095,40.5947117,-102.3451047,Phillips County,08
08099,37.9585242,-102.3923123,Prowers County,08
08115,40.8715679,-102.3553579,Sedgwick County,08
08121,39.9657899,-103.2097445,Washington County,08
08123,40.555961,-104.383666,Weld County,08
08125,40.0007644,-102.4216065,Yuma County,08
17001,39.9860525,-91.1949607,Adams County,17
17003,37.1836583,-89.3495158,Alexander County,17
17005,38.885924,-89.4365916,Bond County,17
17007,42.3193118,-88.824213,Boone County,17
17009,39.9620694,-90.7503095,Brown County,17
17011,41.4013043,-89.5283772,Bureau County,17
17013,39.1642619,-90.6662948,Calhoun County,17
17015,42.0708996,-89.9241898,Carroll County,17
17017,39.9692024,-90.2457045,Cass County,17
17019,40.138983,-88.1969669,Champaign County,17
17021,39.5455242,-89.2795927,Christian County,17
17023,39.3323343,-87.7916832,Clark County,17
17025,38.7468187,-88.4823254,Clay County,17
17027,38.6062953,-89.4262278,Clinton County,17
17029,39.5136797,-88.220782,Coles County,17
17033,39.0027235,-87.7625363,Crawford County,17
17035,39.273121,-88.2406193,Cumberland County,17
17037,41.8946145,-88.7689224,DeKalb County,17
17041,39.7660778,-88.2228669,Douglas County,17
