county_fips,state_fips,crop,crop_variant,year,yield_bu_acre,unit_desc,weather_feature_date_max,target_available_date,split_role,county_name,state_name,raw_source_file
08001,08,WHEAT,WHEAT__WINTER,2000,24.0,BU / ACRE,2000-12-31,2000-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2001,32.5,BU / ACRE,2001-12-31,2001-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2002,24.5,BU / ACRE,2002-12-31,2002-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2003,30.5,BU / ACRE,2003-12-31,2003-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2007,34.0,BU / ACRE,2007-12-31,2007-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2008,28.5,BU / ACRE,2008-12-31,2008-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2009,36.5,BU / ACRE,2009-12-31,2009-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2010,39.9,BU / ACRE,2010-12-31,2010-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2011,35.7,BU / ACRE,2011-12-31,2011-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2012,36.2,BU / ACRE,2012-12-31,2012-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2013,27.5,BU / ACRE,2013-12-31,2013-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2014,47.9,BU / ACRE,2014-12-31,2014-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2015,36.6,BU / ACRE,2015-12-31,2015-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2016,46.6,BU / ACRE,2016-12-31,2016-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2017,39.0,BU / ACRE,2017-12-31,2017-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2018,26.8,BU / ACRE,2018-12-31,2018-12-31,train,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2019,44.1,BU / ACRE,2019-12-31,2019-12-31,validation,ADAMS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08001,08,WHEAT,WHEAT__WINTER,2020,28.9,BU / ACRE,2020-12-31,2020-12-31,validation,ADAMS,COLORADO,wheat_2020_20260718T224235Z.json
08001,08,WHEAT,WHEAT__WINTER,2021,28.3,BU / ACRE,2021-12-31,2021-12-31,validation,ADAMS,COLORADO,wheat_2020_20260718T224235Z.json
08001,08,WHEAT,WHEAT__WINTER,2022,19.8,BU / ACRE,2022-12-31,2022-12-31,locked_holdout,ADAMS,COLORADO,wheat_2020_20260718T224235Z.json
08001,08,WHEAT,WHEAT__WINTER,2025,38.9,BU / ACRE,2025-12-31,2025-12-31,locked_holdout,ADAMS,COLORADO,wheat_2020_20260718T224235Z.json
08005,08,WHEAT,WHEAT__WINTER,2000,26.5,BU / ACRE,2000-12-31,2000-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2001,26.0,BU / ACRE,2001-12-31,2001-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2002,21.0,BU / ACRE,2002-12-31,2002-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2003,22.5,BU / ACRE,2003-12-31,2003-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2006,21.0,BU / ACRE,2006-12-31,2006-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2007,36.5,BU / ACRE,2007-12-31,2007-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2009,32.5,BU / ACRE,2009-12-31,2009-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2010,44.3,BU / ACRE,2010-12-31,2010-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2011,37.0,BU / ACRE,2011-12-31,2011-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2012,22.3,BU / ACRE,2012-12-31,2012-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2013,18.9,BU / ACRE,2013-12-31,2013-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2014,27.3,BU / ACRE,2014-12-31,2014-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2015,20.3,BU / ACRE,2015-12-31,2015-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2016,36.7,BU / ACRE,2016-12-31,2016-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2017,30.7,BU / ACRE,2017-12-31,2017-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2018,19.4,BU / ACRE,2018-12-31,2018-12-31,train,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2019,38.5,BU / ACRE,2019-12-31,2019-12-31,validation,ARAPAHOE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08005,08,WHEAT,WHEAT__WINTER,2020,22.9,BU / ACRE,2020-12-31,2020-12-31,validation,ARAPAHOE,COLORADO,wheat_2020_20260718T224235Z.json
08005,08,WHEAT,WHEAT__WINTER,2021,17.1,BU / ACRE,2021-12-31,2021-12-31,validation,ARAPAHOE,COLORADO,wheat_2020_20260718T224235Z.json
08005,08,WHEAT,WHEAT__WINTER,2022,10.3,BU / ACRE,2022-12-31,2022-12-31,locked_holdout,ARAPAHOE,COLORADO,wheat_2020_20260718T224235Z.json
08005,08,WHEAT,WHEAT__WINTER,2025,36.5,BU / ACRE,2025-12-31,2025-12-31,locked_holdout,ARAPAHOE,COLORADO,wheat_2020_20260718T224235Z.json
08009,08,WHEAT,WHEAT__WINTER,2000,27.0,BU / ACRE,2000-12-31,2000-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2001,35.5,BU / ACRE,2001-12-31,2001-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2002,21.5,BU / ACRE,2002-12-31,2002-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2003,27.5,BU / ACRE,2003-12-31,2003-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2006,13.0,BU / ACRE,2006-12-31,2006-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2007,35.5,BU / ACRE,2007-12-31,2007-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2008,23.5,BU / ACRE,2008-12-31,2008-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2009,29.0,BU / ACRE,2009-12-31,2009-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2010,31.4,BU / ACRE,2010-12-31,2010-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2012,17.5,BU / ACRE,2012-12-31,2012-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2015,23.4,BU / ACRE,2015-12-31,2015-12-31,train,BACA,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08009,08,WHEAT,WHEAT__WINTER,2020,16.2,BU / ACRE,2020-12-31,2020-12-31,validation,BACA,COLORADO,wheat_2020_20260718T224235Z.json
08009,08,WHEAT,WHEAT__WINTER,2021,23.7,BU / ACRE,2021-12-31,2021-12-31,validation,BACA,COLORADO,wheat_2020_20260718T224235Z.json
08009,08,WHEAT,WHEAT__WINTER,2025,34.9,BU / ACRE,2025-12-31,2025-12-31,locked_holdout,BACA,COLORADO,wheat_2020_20260718T224235Z.json
08017,08,WHEAT,WHEAT__WINTER,2000,26.5,BU / ACRE,2000-12-31,2000-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2001,26.5,BU / ACRE,2001-12-31,2001-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2002,13.0,BU / ACRE,2002-12-31,2002-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2003,29.5,BU / ACRE,2003-12-31,2003-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2006,16.0,BU / ACRE,2006-12-31,2006-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2007,35.0,BU / ACRE,2007-12-31,2007-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2008,20.0,BU / ACRE,2008-12-31,2008-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2009,36.5,BU / ACRE,2009-12-31,2009-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2010,46.7,BU / ACRE,2010-12-31,2010-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2011,31.3,BU / ACRE,2011-12-31,2011-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2012,29.5,BU / ACRE,2012-12-31,2012-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2014,24.0,BU / ACRE,2014-12-31,2014-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2015,37.4,BU / ACRE,2015-12-31,2015-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2018,29.1,BU / ACRE,2018-12-31,2018-12-31,train,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2019,45.5,BU / ACRE,2019-12-31,2019-12-31,validation,CHEYENNE,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08017,08,WHEAT,WHEAT__WINTER,2020,22.7,BU / ACRE,2020-12-31,2020-12-31,validation,CHEYENNE,COLORADO,wheat_2020_20260718T224235Z.json
08017,08,WHEAT,WHEAT__WINTER,2021,32.2,BU / ACRE,2021-12-31,2021-12-31,validation,CHEYENNE,COLORADO,wheat_2020_20260718T224235Z.json
08017,08,WHEAT,WHEAT__WINTER,2023,30.3,BU / ACRE,2023-12-31,2023-12-31,locked_holdout,CHEYENNE,COLORADO,wheat_2020_20260718T224235Z.json
08017,08,WHEAT,WHEAT__WINTER,2025,36.2,BU / ACRE,2025-12-31,2025-12-31,locked_holdout,CHEYENNE,COLORADO,wheat_2020_20260718T224235Z.json
08033,08,WHEAT,WHEAT__WINTER,2000,13.5,BU / ACRE,2000-12-31,2000-12-31,train,DOLORES,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08033,08,WHEAT,WHEAT__WINTER,2001,14.5,BU / ACRE,2001-12-31,2001-12-31,train,DOLORES,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08033,08,WHEAT,WHEAT__WINTER,2002,14.0,BU / ACRE,2002-12-31,2002-12-31,train,DOLORES,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08033,08,WHEAT,WHEAT__WINTER,2003,17.0,BU / ACRE,2003-12-31,2003-12-31,train,DOLORES,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08033,08,WHEAT,WHEAT__WINTER,2007,19.0,BU / ACRE,2007-12-31,2007-12-31,train,DOLORES,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08033,08,WHEAT,WHEAT__WINTER,2010,10.0,BU / ACRE,2010-12-31,2010-12-31,train,DOLORES,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08033,08,WHEAT,WHEAT__WINTER,2011,25.9,BU / ACRE,2011-12-31,2011-12-31,train,DOLORES,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08033,08,WHEAT,WHEAT__WINTER,2014,19.7,BU / ACRE,2014-12-31,2014-12-31,train,DOLORES,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08033,08,WHEAT,WHEAT__WINTER,2015,23.9,BU / ACRE,2015-12-31,2015-12-31,train,DOLORES,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08033,08,WHEAT,WHEAT__WINTER,2018,6.1,BU / ACRE,2018-12-31,2018-12-31,train,DOLORES,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08033,08,WHEAT,WHEAT__WINTER,2021,10.1,BU / ACRE,2021-12-31,2021-12-31,validation,DOLORES,COLORADO,wheat_2020_20260718T224235Z.json
08033,08,WHEAT,WHEAT__WINTER,2022,8.7,BU / ACRE,2022-12-31,2022-12-31,locked_holdout,DOLORES,COLORADO,wheat_2020_20260718T224235Z.json
08033,08,WHEAT,WHEAT__WINTER,2023,20.6,BU / ACRE,2023-12-31,2023-12-31,locked_holdout,DOLORES,COLORADO,wheat_2020_20260718T224235Z.json
08033,08,WHEAT,WHEAT__WINTER,2025,17.6,BU / ACRE,2025-12-31,2025-12-31,locked_holdout,DOLORES,COLORADO,wheat_2020_20260718T224235Z.json
08035,08,WHEAT,WHEAT__WINTER,2000,39.0,BU / ACRE,2000-12-31,2000-12-31,train,DOUGLAS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08035,08,WHEAT,WHEAT__WINTER,2001,28.0,BU / ACRE,2001-12-31,2001-12-31,train,DOUGLAS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08035,08,WHEAT,WHEAT__WINTER,2002,17.5,BU / ACRE,2002-12-31,2002-12-31,train,DOUGLAS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08035,08,WHEAT,WHEAT__WINTER,2003,30.0,BU / ACRE,2003-12-31,2003-12-31,train,DOUGLAS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08035,08,WHEAT,WHEAT__WINTER,2006,23.5,BU / ACRE,2006-12-31,2006-12-31,train,DOUGLAS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08035,08,WHEAT,WHEAT__WINTER,2007,34.5,BU / ACRE,2007-12-31,2007-12-31,train,DOUGLAS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08035,08,WHEAT,WHEAT__WINTER,2008,17.0,BU / ACRE,2008-12-31,2008-12-31,train,DOUGLAS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08035,08,WHEAT,WHEAT__WINTER,2010,18.0,BU / ACRE,2010-12-31,2010-12-31,train,DOUGLAS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08035,08,WHEAT,WHEAT__WINTER,2011,25.5,BU / ACRE,2011-12-31,2011-12-31,train,DOUGLAS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08035,08,WHEAT,WHEAT__WINTER,2014,42.9,BU / ACRE,2014-12-31,2014-12-31,train,DOUGLAS,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2000,37.5,BU / ACRE,2000-12-31,2000-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2001,33.5,BU / ACRE,2001-12-31,2001-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2002,19.0,BU / ACRE,2002-12-31,2002-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2003,24.0,BU / ACRE,2003-12-31,2003-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2006,13.5,BU / ACRE,2006-12-31,2006-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2007,35.0,BU / ACRE,2007-12-31,2007-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2008,22.0,BU / ACRE,2008-12-31,2008-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2015,39.0,BU / ACRE,2015-12-31,2015-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2016,54.7,BU / ACRE,2016-12-31,2016-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2017,31.6,BU / ACRE,2017-12-31,2017-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2018,23.8,BU / ACRE,2018-12-31,2018-12-31,train,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
08039,08,WHEAT,WHEAT__WINTER,2019,44.4,BU / ACRE,2019-12-31,2019-12-31,validation,ELBERT,COLORADO,wheat_colorado_2000_20260718T224732Z.json
