driver_group,feature
heat,season_tmax_mean
heat,season_tmean_mean
heat,growing_degree_days_base5
heat,heat_days_30
heat,heat_days_35
heat,heat_days_40
heat,max_consecutive_heat_days_30
heat,max_consecutive_heat_days_35
heat,heatwave_events_3d_30
heat,heatwave_events_3d_35
heat,heat_degree_days_30
heat,heat_degree_days_35
drought,rain_sum
drought,rain_mean
drought,dry_days_1mm
drought,dry_days_2mm
drought,max_dry_spell_1mm
drought,dry_spell_events_7d
drought,dry_spell_events_14d
drought,hot_dry_days_30_1mm
frost_cold,season_tmin_mean
frost_cold,frost_days_0
frost_cold,cold_days_5
frost_cold,min_tmin
frost_cold,frost_events_2d
excess_rain,heavy_rain_days_10
excess_rain,heavy_rain_days_20
excess_rain,heavy_rain_days_25
excess_rain,heavy_rain_days_50
excess_rain,max_1day_rain
excess_rain,max_3day_rain
excess_rain,max_7day_rain
excess_rain,wet_days_1mm
radiation,radiation_sum
radiation,radiation_mean
