event_key,country,region,crop,year,window,method,top_driver_group,score,matches_event_sanity_group
United States|Colorado|Barley|1990|spring,United States,Colorado,Barley,1990.0,spring,grouped_shap,drought,0.18220967240233793,False
United States|Colorado|Barley|1991|spring,United States,Colorado,Barley,1991.0,spring,grouped_shap,drought,0.14575951271538443,False
United States|Colorado|Barley|1992|spring,United States,Colorado,Barley,1992.0,spring,grouped_shap,excess_rain,0.17741158512640248,False
United States|Colorado|Barley|1993|spring,United States,Colorado,Barley,1993.0,spring,grouped_shap,excess_rain,0.17290183836334277,False
United States|Colorado|Barley|2021|spring,United States,Colorado,Barley,2021.0,spring,grouped_shap,drought,0.09000610605539439,True
United States|Colorado|Barley|2022|spring,United States,Colorado,Barley,2022.0,spring,grouped_shap,drought,0.10278404359583082,True
United States|Colorado|Barley|2025|spring,United States,Colorado,Barley,2025.0,spring,grouped_shap,heat,0.06341911781004371,False
United States|Colorado|Oats|1990|spring,United States,Colorado,Oats,1990.0,spring,grouped_shap,drought,0.19324187810392407,False
United States|Colorado|Oats|1996|spring,United States,Colorado,Oats,1996.0,spring,grouped_shap,drought,0.10265511504038384,False
United States|Colorado|Oats|2002|spring,United States,Colorado,Oats,2002.0,spring,grouped_shap,drought,0.19686230784100417,False
United States|Colorado|Oats|2004|spring,United States,Colorado,Oats,2004.0,spring,grouped_shap,heat,0.03464831216865147,False
United States|Colorado|Oats|2007|spring,United States,Colorado,Oats,2007.0,spring,grouped_shap,drought,0.06722026174043291,False
United States|Colorado|Oats|2018|spring,United States,Colorado,Oats,2018.0,spring,grouped_shap,heat,0.05908734415708509,False
United States|Colorado|Wheat|2002|winter,United States,Colorado,Wheat,2002.0,winter,grouped_shap,drought,0.45512084505927547,False
United States|Colorado|Wheat|2004|winter,United States,Colorado,Wheat,2004.0,winter,grouped_shap,drought,0.266786919837737,False
United States|Colorado|Wheat|2005|winter,United States,Colorado,Wheat,2005.0,winter,grouped_shap,drought,0.28516853550376403,False
United States|Colorado|Wheat|2006|winter,United States,Colorado,Wheat,2006.0,winter,grouped_shap,drought,0.4088803162460981,False
United States|Colorado|Wheat|2013|winter,United States,Colorado,Wheat,2013.0,winter,grouped_shap,drought,0.3628015767388178,False
United States|Colorado|Wheat|2020|winter,United States,Colorado,Wheat,2020.0,winter,grouped_shap,drought,0.10240698119616795,False
United States|Colorado|Wheat|2022|winter,United States,Colorado,Wheat,2022.0,winter,grouped_shap,drought,0.15824357008073078,True
United States|Illinois|Oats|1993|spring,United States,Illinois,Oats,1993.0,spring,grouped_shap,drought,0.2527622178077054,False
United States|Illinois|Oats|1998|spring,United States,Illinois,Oats,1998.0,spring,grouped_shap,excess_rain,0.09733164132375813,False
United States|Illinois|Oats|2007|spring,United States,Illinois,Oats,2007.0,spring,grouped_shap,heat,0.12619133446514497,False
United States|Illinois|Oats|2009|spring,United States,Illinois,Oats,2009.0,spring,grouped_shap,excess_rain,0.12195169862797278,False
United States|Illinois|Oats|2010|spring,United States,Illinois,Oats,2010.0,spring,grouped_shap,excess_rain,0.14457836423542317,False
United States|Illinois|Oats|2019|spring,United States,Illinois,Oats,2019.0,spring,grouped_shap,frost_cold,0.031932307946518634,False
United States|Illinois|Oats|2020|spring,United States,Illinois,Oats,2020.0,spring,grouped_shap,excess_rain,0.020156989794987715,False
United States|Illinois|Wheat|1991|winter,United States,Illinois,Wheat,1991.0,winter,grouped_shap,drought,0.24442515572816784,False
United States|Illinois|Wheat|1996|winter,United States,Illinois,Wheat,1996.0,winter,grouped_shap,excess_rain,0.2061401726684812,False
United States|Illinois|Wheat|2002|winter,United States,Illinois,Wheat,2002.0,winter,grouped_shap,excess_rain,0.13820312816172248,False
United States|Illinois|Wheat|2007|winter,United States,Illinois,Wheat,2007.0,winter,grouped_shap,excess_rain,0.208898758652811,False
United States|Illinois|Wheat|2009|winter,United States,Illinois,Wheat,2009.0,winter,grouped_shap,excess_rain,0.17696173493818165,False
United States|Illinois|Wheat|2010|winter,United States,Illinois,Wheat,2010.0,winter,grouped_shap,excess_rain,0.2911950625313887,False
United States|Illinois|Wheat|2018|winter,United States,Illinois,Wheat,2018.0,winter,grouped_shap,excess_rain,0.04845489598209597,False
United States|Illinois|Wheat|2019|winter,United States,Illinois,Wheat,2019.0,winter,grouped_shap,drought,0.043186463054248225,False
United States|Illinois|Wheat|2020|winter,United States,Illinois,Wheat,2020.0,winter,grouped_shap,excess_rain,0.11979052974928028,False
United States|Iowa|Oats|1991|spring,United States,Iowa,Oats,1991.0,spring,grouped_shap,excess_rain,0.14635237842825946,False
United States|Iowa|Oats|1993|spring,United States,Iowa,Oats,1993.0,spring,grouped_shap,drought,0.281578453001407,False
United States|Iowa|Oats|2010|spring,United States,Iowa,Oats,2010.0,spring,grouped_shap,drought,0.18104065401358269,False
United States|Iowa|Oats|2014|spring,United States,Iowa,Oats,2014.0,spring,grouped_shap,excess_rain,0.14267966662480847,False
United States|Iowa|Oats|2018|spring,United States,Iowa,Oats,2018.0,spring,grouped_shap,excess_rain,0.07475233996733084,False
United States|Iowa|Oats|2019|spring,United States,Iowa,Oats,2019.0,spring,grouped_shap,drought,0.05438416015486158,False
United States|Iowa|Wheat|1993|winter,United States,Iowa,Wheat,1993.0,winter,grouped_shap,excess_rain,0.2650184612541598,False
United States|Iowa|Wheat|2011|winter,United States,Iowa,Wheat,2011.0,winter,grouped_shap,drought,0.18897105738169065,False
United States|Kansas|Barley|2004|spring,United States,Kansas,Barley,2004.0,spring,grouped_shap,heat,0.2274762602466268,False
United States|Kansas|Barley|2006|spring,United States,Kansas,Barley,2006.0,spring,grouped_shap,heat,0.23207722594154034,False
United States|Kansas|Barley|2011|spring,United States,Kansas,Barley,2011.0,spring,grouped_shap,heat,0.42995118492968576,False
United States|Kansas|Barley|2018|spring,United States,Kansas,Barley,2018.0,spring,grouped_shap,heat,0.12500335801840676,False
United States|Kansas|Barley|2019|spring,United States,Kansas,Barley,2019.0,spring,grouped_shap,excess_rain,0.09175697782117762,False
United States|Kansas|Barley|2022|spring,United States,Kansas,Barley,2022.0,spring,grouped_shap,heat,0.15829574220249182,True
United States|Kansas|Barley|2023|spring,United States,Kansas,Barley,2023.0,spring,grouped_shap,heat,0.13044644440242775,False
United States|Kansas|Canola|2022|spring,United States,Kansas,Canola,2022.0,spring,grouped_shap,heat,0.16398432087413115,True
United States|Kansas|Canola|2023|spring,United States,Kansas,Canola,2023.0,spring,grouped_shap,heat,0.14354314893095546,False
United States|Kansas|Oats|1993|spring,United States,Kansas,Oats,1993.0,spring,grouped_shap,excess_rain,0.10108535782474481,False
United States|Kansas|Oats|2011|spring,United States,Kansas,Oats,2011.0,spring,grouped_shap,heat,0.4356727605404795,False
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012.0,spring,grouped_shap,heat,0.1175473270238339,True
United States|Kansas|Oats|2013|spring,United States,Kansas,Oats,2013.0,spring,grouped_shap,excess_rain,0.06458933047715408,False
United States|Kansas|Oats|2022|spring,United States,Kansas,Oats,2022.0,spring,grouped_shap,heat,0.168459742838937,True
United States|Kansas|Wheat|1995|winter,United States,Kansas,Wheat,1995.0,winter,grouped_shap,excess_rain,0.18313003947788165,False
United States|Kansas|Wheat|1996|winter,United States,Kansas,Wheat,1996.0,winter,grouped_shap,drought,0.21653262114152066,False
United States|Kansas|Wheat|2006|winter,United States,Kansas,Wheat,2006.0,winter,grouped_shap,drought,0.26736284329854226,False
United States|Kansas|Wheat|2007|winter,United States,Kansas,Wheat,2007.0,winter,grouped_shap,heat,0.13472102892755095,False
United States|Kansas|Wheat|2014|winter,United States,Kansas,Wheat,2014.0,winter,grouped_shap,drought,0.2983285486157882,False
United States|Kansas|Wheat|2022|winter,United States,Kansas,Wheat,2022.0,winter,grouped_shap,heat,0.05852544987000797,True
United States|Kansas|Wheat|2023|winter,United States,Kansas,Wheat,2023.0,winter,grouped_shap,drought,0.18022515837936315,False
United States|Minnesota|Barley|1999|spring,United States,Minnesota,Barley,1999.0,spring,grouped_shap,excess_rain,0.06823294849378839,False
United States|Minnesota|Barley|2002|spring,United States,Minnesota,Barley,2002.0,spring,grouped_shap,drought,0.17238550444000303,False
United States|Minnesota|Barley|2005|spring,United States,Minnesota,Barley,2005.0,spring,grouped_shap,excess_rain,0.1117906853598297,False
United States|Minnesota|Barley|2011|spring,United States,Minnesota,Barley,2011.0,spring,grouped_shap,drought,0.11788346654571225,False
United States|Minnesota|Barley|2014|spring,United States,Minnesota,Barley,2014.0,spring,grouped_shap,excess_rain,0.08757949694926864,False
United States|Minnesota|Barley|2020|spring,United States,Minnesota,Barley,2020.0,spring,grouped_shap,drought,0.08472382147663701,False
United States|Minnesota|Barley|2021|spring,United States,Minnesota,Barley,2021.0,spring,grouped_shap,drought,0.05881430542871631,True
United States|Minnesota|Canola|2002|spring,United States,Minnesota,Canola,2002.0,spring,grouped_shap,drought,0.18857222861873404,False
United States|Minnesota|Canola|2005|spring,United States,Minnesota,Canola,2005.0,spring,grouped_shap,excess_rain,0.11478053255379972,False
United States|Minnesota|Canola|2020|spring,United States,Minnesota,Canola,2020.0,spring,grouped_shap,drought,0.09075931592582824,False
United States|Minnesota|Canola|2021|spring,United States,Minnesota,Canola,2021.0,spring,grouped_shap,drought,0.059721991044247344,True
United States|Minnesota|Oats|1991|spring,United States,Minnesota,Oats,1991.0,spring,grouped_shap,drought,0.1621380147176597,False
United States|Minnesota|Oats|1995|spring,United States,Minnesota,Oats,1995.0,spring,grouped_shap,drought,0.11522093078944505,False
United States|Minnesota|Oats|2011|spring,United States,Minnesota,Oats,2011.0,spring,grouped_shap,drought,0.1187305119690404,False
United States|Minnesota|Oats|2013|spring,United States,Minnesota,Oats,2013.0,spring,grouped_shap,drought,0.045925201249737965,False
United States|Minnesota|Oats|2018|spring,United States,Minnesota,Oats,2018.0,spring,grouped_shap,excess_rain,0.05056904345602162,False
United States|Minnesota|Oats|2021|spring,United States,Minnesota,Oats,2021.0,spring,grouped_shap,heat,0.05104702663626394,True
United States|Minnesota|Oats|2022|spring,United States,Minnesota,Oats,2022.0,spring,grouped_shap,frost_cold,0.03867636706123784,False
United States|Minnesota|Wheat|1994|spring,United States,Minnesota,Wheat,1994.0,spring,grouped_shap,drought,0.08485032510665902,False
United States|Minnesota|Wheat|1995|spring,United States,Minnesota,Wheat,1995.0,spring,grouped_shap,drought,0.11236579640607852,False
United States|Minnesota|Wheat|1997|spring,United States,Minnesota,Wheat,1997.0,spring,grouped_shap,frost_cold,0.07041251187374761,False
United States|Minnesota|Wheat|2002|spring,United States,Minnesota,Wheat,2002.0,spring,grouped_shap,drought,0.18886353479293888,False
United States|Minnesota|Wheat|2020|spring,United States,Minnesota,Wheat,2020.0,spring,grouped_shap,drought,0.08596957690525829,False
United States|Minnesota|Wheat|2021|spring,United States,Minnesota,Wheat,2021.0,spring,grouped_shap,drought,0.059789530321615936,True
United States|Montana|Barley|2000|spring,United States,Montana,Barley,2000.0,spring,grouped_shap,drought,0.0894940702069,False
United States|Montana|Barley|2001|spring,United States,Montana,Barley,2001.0,spring,grouped_shap,drought,0.10544646410884478,False
United States|Montana|Barley|2002|spring,United States,Montana,Barley,2002.0,spring,grouped_shap,heat,0.16749514006014762,False
United States|Montana|Barley|2003|spring,United States,Montana,Barley,2003.0,spring,grouped_shap,heat,0.09831807078717603,False
United States|Montana|Barley|2021|spring,United States,Montana,Barley,2021.0,spring,grouped_shap,heat,0.06211653077921079,True
United States|Montana|Barley|2022|spring,United States,Montana,Barley,2022.0,spring,grouped_shap,heat,0.0672752616702827,True
United States|Montana|Canola|2001|spring,United States,Montana,Canola,2001.0,spring,grouped_shap,drought,0.11056205410534574,False
United States|Montana|Canola|2002|spring,United States,Montana,Canola,2002.0,spring,grouped_shap,heat,0.16766034780594466,False
United States|Montana|Canola|2003|spring,United States,Montana,Canola,2003.0,spring,grouped_shap,drought,0.09955666574508865,False
