scope,driver_group,mean_abs_group_shap,mean_signed_group_shap,mean_stress_group_shap,n_rows,rank_abs,rank_stress,table,event_key,country,region,crop,year,window,signed_group_shap,abs_group_shap,stress_score
all_rows,heat,0.05844590403630286,-0.002750452414826089,0.03059817822556448,1257.0,2,2,summary,,,,,,,,,
all_rows,drought,0.06867343812255776,8.358071403579812e-05,0.03429492870426098,1257.0,1,1,summary,,,,,,,,,
all_rows,frost_cold,0.028328224311691838,-3.9108599802623e-06,0.01416606758583605,1257.0,4,4,summary,,,,,,,,,
all_rows,excess_rain,0.05279958941771267,0.0006321000836660975,0.026083744667023286,1257.0,3,3,summary,,,,,,,,,
all_rows,radiation,0.012038252655771967,-2.3035877137192728e-05,0.0060306442664545806,1257.0,5,5,summary,,,,,,,,,
anomaly_rows,heat,0.08277435494289768,-0.07296520019640622,0.07786977756965195,214.0,2,2,summary,,,,,,,,,
anomaly_rows,drought,0.11122370986407892,-0.09716442742794207,0.10419406864601048,214.0,1,1,summary,,,,,,,,,
anomaly_rows,frost_cold,0.03710939971361434,-0.030845653770978268,0.0339775267422963,214.0,4,4,summary,,,,,,,,,
anomaly_rows,excess_rain,0.08209825815262328,-0.07347744324239447,0.07778785069750889,214.0,3,3,summary,,,,,,,,,
anomaly_rows,radiation,0.014908823720262346,-0.013421806334327862,0.014165315027295105,214.0,5,5,summary,,,,,,,,,
eval_all_rows,heat,0.04112701111662533,-0.010079646313225641,0.025603328714925485,343.0,2,1,summary,,,,,,,,,
eval_all_rows,drought,0.0479758059048274,0.0003063001677638511,0.023834752868531775,343.0,1,2,summary,,,,,,,,,
eval_all_rows,frost_cold,0.018668750295459884,-1.433221864486602e-05,0.009341541257052374,343.0,4,4,summary,,,,,,,,,
eval_all_rows,excess_rain,0.030611498534558423,0.002316471735184512,0.014147513399686956,343.0,3,3,summary,,,,,,,,,
eval_all_rows,radiation,0.008951041024038275,-8.442010950860434e-05,0.004517730566773438,343.0,5,5,summary,,,,,,,,,
eval_anomaly_rows,heat,0.056580327522528555,-0.03451926480098661,0.04554979616175758,67.0,2,1,summary,,,,,,,,,
eval_anomaly_rows,drought,0.0613854462210235,-0.019579828327150727,0.04048263727408711,67.0,1,2,summary,,,,,,,,,
eval_anomaly_rows,frost_cold,0.017580724396365998,-0.0034602148908249746,0.010520469643595487,67.0,4,4,summary,,,,,,,,,
eval_anomaly_rows,excess_rain,0.035264140307453215,-0.009149010605499979,0.022206575456476602,67.0,3,3,summary,,,,,,,,,
