event_key,country,region,crop,year,window,feature,driver_group,lime_description,lime_weight,abs_lime_weight
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,heatwave_events_3d_30,heat,heatwave_events_3d_30 > 7.00,-0.0632212547271527,0.0632212547271527
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,rain_mean,drought,rain_mean <= 1.74,-0.03658227379343985,0.03658227379343985
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,frost_events_2d,frost_cold,frost_events_2d <= 2.00,0.0280525925001191,0.0280525925001191
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,rain_sum,drought,rain_sum <= 339.00,-0.022148842244550868,0.022148842244550868
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,heat_days_30,heat,heat_days_30 > 58.00,-0.01490740143658717,0.01490740143658717
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,hot_dry_days_30_1mm,drought,hot_dry_days_30_1mm > 41.00,-0.014630864718094553,0.014630864718094553
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,max_7day_rain,excess_rain,51.15 < max_7day_rain <= 70.93,0.014560601540968653,0.014560601540968653
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,max_dry_spell_1mm,drought,12.00 < max_dry_spell_1mm <= 16.00,-0.01389322059916152,0.01389322059916152
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,max_1day_rain,excess_rain,31.37 < max_1day_rain <= 43.34,-0.01210240591989656,0.01210240591989656
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,dry_spell_events_14d,drought,0.00 < dry_spell_events_14d <= 1.00,0.010565201024111997,0.010565201024111997
United States|Kansas|Oats|2012|spring,United States,Kansas,Oats,2012,spring,heavy_rain_days_20,excess_rain,1.00 < heavy_rain_days_20 <= 3.00,-0.009319981625912148,0.009319981625912148
United States|North Dakota|Canola|2012|spring,United States,North Dakota,Canola,2012,spring,heatwave_events_3d_30,heat,3.00 < heatwave_events_3d_30 <= 7.00,-0.020547374643835804,0.020547374643835804
United States|North Dakota|Canola|2012|spring,United States,North Dakota,Canola,2012,spring,heavy_rain_days_20,excess_rain,heavy_rain_days_20 <= 1.00,-0.017071936483895364,0.017071936483895364
United States|North Dakota|Canola|2012|spring,United States,North Dakota,Canola,2012,spring,season_tmean_mean,heat,15.42 < season_tmean_mean <= 18.92,-0.015306395662844207,0.015306395662844207
