county_fips,train_year_count,retained
08001,16,True
08003,6,False
08005,16,True
08009,11,True
08011,7,False
08013,9,False
08014,1,False
08017,14,True
08021,6,False
08023,5,False
08025,6,False
08029,7,False
08031,1,False
08033,10,True
08035,10,True
08039,11,True
08041,6,False
08045,6,False
08061,17,True
08063,17,True
08067,9,False
08069,12,True
08071,9,False
08073,16,True
08075,15,True
08077,14,True
08081,8,False
08083,12,True
08085,6,False
08087,13,True
08089,11,True
08095,15,True
08099,15,True
08101,8,False
08103,5,False
08105,6,False
08107,8,False
08109,5,False
08113,6,False
08115,16,True
08121,16,True
08123,15,True
08125,13,True
17001,12,True
17003,15,True
17005,12,True
17007,18,True
17009,15,True
17011,13,True
17013,13,True
17015,11,True
17017,15,True
17019,11,True
17021,15,True
17023,18,True
17025,16,True
17027,18,True
17029,13,True
17033,19,True
17035,18,True
17037,19,True
17041,12,True
17045,15,True
17047,17,True
17049,16,True
17051,12,True
17053,14,True
17055,19,True
17057,12,True
17059,18,True
17061,17,True
17063,6,False
17065,14,True
17067,16,True
17071,9,False
17073,13,True
17075,19,True
17077,15,True
17079,15,True
17081,13,True
17083,17,True
17085,5,False
17087,6,False
17089,17,True
17091,14,True
17093,11,True
17095,16,True
17097,16,True
17099,14,True
17101,19,True
17103,14,True
17105,16,True
17107,10,True
17109,6,False
17111,18,True
17113,15,True
17115,6,False
17117,16,True
17119,18,True
17121,18,True
17123,16,True
17125,19,True
17127,16,True
17129,12,True
17131,7,False
17133,19,True
17135,17,True
17137,17,True
17139,10,True
17141,18,True
17143,14,True
17145,16,True
17147,8,False
17149,17,True
17153,16,True
17155,4,False
17157,19,True
17159,18,True
17161,3,False
17163,19,True
17165,15,True
17167,14,True
17169,17,True
17171,14,True
17173,16,True
17175,4,False
17177,19,True
17179,16,True
17181,13,True
17183,16,True
17185,17,True
17187,3,False
17189,19,True
17191,15,True
17193,19,True
17195,14,True
17197,14,True
17199,10,True
17201,18,True
17203,16,True
19007,1,False
19039,1,False
19043,1,False
19051,5,False
19053,3,False
19055,1,False
19057,8,False
19085,3,False
19087,3,False
19095,2,False
19101,9,False
19103,7,False
19107,5,False
19111,9,False
19115,5,False
19119,1,False
19123,1,False
19129,2,False
19135,5,False
19139,4,False
19145,3,False
19155,1,False
19159,2,False
19167,1,False
19177,9,False
19179,1,False
19183,6,False
19185,4,False
20001,14,True
20003,18,True
20005,17,True
20007,15,True
20009,19,True
20011,19,True
20013,18,True
20015,18,True
20017,18,True
20019,18,True
20021,17,True
20023,18,True
20025,18,True
20027,18,True
20029,16,True
20031,15,True
20033,18,True
20035,17,True
20037,15,True
20039,18,True
20041,19,True
20043,8,False
20045,18,True
20047,18,True
20049,18,True
20051,18,True
